level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/rhox_mar																							
rhox_mar_foreign_corruption_1	rhox_mar_foreign_corruption	0	1	2500	0		false	false			false	rhox_mar_foreign_corruption	false	0.0000	0	true	1		true	0	0		0
rhox_mar_foreign_income_1	rhox_mar_foreign_income	0	1	5000	0		false	false			false	rhox_mar_foreign_income	false	0.0000	0	true	1		true	0	0		0
rhox_mar_foreign_trade_1	rhox_mar_foreign_trade	0	1	2500	0		false	false			false	rhox_mar_foreign_trade	false	0.0000	0	true	1		true	0	0		0
rhox_mar_emp_walls_1	rhox_mar_emp_walls	0	4	2000	0		false	false			true	wh_main_EMPIRE_walls	false	0.0000	0	true	2		true	0	0		0
rhox_mar_emp_walls_2	rhox_mar_emp_walls	1	5	4000	0		false	false			true	wh_main_EMPIRE_walls	false	0.0000	0	true	3		true	0	0		0
rhox_mar_emp_walls_3	rhox_mar_emp_walls	2	6	6000	0		false	false			true	wh_main_EMPIRE_walls	false	0.0000	0	true	4		true	0	0		0
rhox_egmond_emp_walls_1	rhox_egmond_emp_walls	0	4	2000	0		false	false			true	wh_main_EMPIRE_walls	false	0.0000	0	true	2		true	0	0		0
rhox_egmond_emp_walls_2	rhox_egmond_emp_walls	1	5	4000	0		false	false			true	wh_main_EMPIRE_walls	false	0.0000	0	true	3		true	0	0		0
rhox_egmond_emp_walls_3	rhox_egmond_emp_walls	2	6	6000	0		false	false			true	wh_main_EMPIRE_walls	false	0.0000	0	true	4		true	0	0		0
rhox_mar_emp_garrison_1	rhox_mar_emp_garrison	0	4	2000	0		false	false			true	wh_main_EMPIRE_garrison	false	0.0000	0	true	2		true	0	0		0
rhox_mar_emp_garrison_2	rhox_mar_emp_garrison	1	5	4000	0		false	false			true	wh_main_EMPIRE_garrison	false	0.0000	0	true	3		true	0	0		0
rhox_egmond_emp_garrison_1	rhox_egmond_emp_garrison	0	4	2000	0		false	false			true	wh_main_EMPIRE_garrison	false	0.0000	0	true	2		true	0	0		0
rhox_egmond_emp_garrison_2	rhox_egmond_emp_garrison	1	5	4000	0		false	false			true	wh_main_EMPIRE_garrison	false	0.0000	0	true	3		true	0	0		0
rhox_mar_emp_allied_outpost_1	rhox_mar_emp_allied_outpost	0	3	2000	0		false	false			true		false	0.0000	0	true	1		true	0	0		0
rhox_mar_emp_allied_outpost_2	rhox_mar_emp_allied_outpost	1	4	4000	0		false	false			true		false	0.0000	0	true	2		true	0	0		0
rhox_mar_emp_allied_outpost_3	rhox_mar_emp_allied_outpost	2	5	6000	0		false	false			true		false	0.0000	0	true	3		true	0	0		0
rhox_egmond_emp_allied_outpost_1	rhox_egmond_emp_allied_outpost	0	3	2000	0		false	false			true		false	0.0000	0	true	1		true	0	0		0
rhox_egmond_emp_allied_outpost_2	rhox_egmond_emp_allied_outpost	1	4	4000	0		false	false			true		false	0.0000	0	true	2		true	0	0		0
rhox_egmond_emp_allied_outpost_3	rhox_egmond_emp_allied_outpost	2	5	6000	0		false	false			true		false	0.0000	0	true	3		true	0	0		0
rhox_mar_rijker	rhox_mar_rijker	0	4	4500	0		false	false			true	rhox_mar_rijker	false	0.0000	0	true	3		true	0	0		0
rhox_mar_eilhart	rhox_mar_eilhart	0	3	2750	0		false	false			true	rhox_mar_eilhart	false	0.0000	0	true	2		true	0	0		0
