building_chain	settlement_type	exclude
#settlement_type_to_building_chains_junctions_tables;1;db/settlement_type_to_building_chains_junctions_tables/rhox_mar		
rhox_mar_foreign_corruption	wh3_main_dae_khorne	false
rhox_mar_foreign_income	wh3_main_dae_khorne	false
rhox_mar_foreign_trade	wh3_main_dae_khorne	false
rhox_mar_foreign_corruption	wh3_main_dae_nurgle	false
rhox_mar_foreign_income	wh3_main_dae_nurgle	false
rhox_mar_foreign_trade	wh3_main_dae_nurgle	false
rhox_mar_foreign_corruption	wh3_main_dae_slaanesh	false
rhox_mar_foreign_income	wh3_main_dae_slaanesh	false
rhox_mar_foreign_trade	wh3_main_dae_slaanesh	false
rhox_mar_foreign_corruption	wh3_main_dae_tzeentch	false
rhox_mar_foreign_income	wh3_main_dae_tzeentch	false
rhox_mar_foreign_trade	wh3_main_dae_tzeentch	false
rhox_mar_foreign_corruption	wh3_dlc23_chd_factory	false
rhox_mar_foreign_corruption	wh3_dlc23_chd_outpost	false
rhox_mar_foreign_corruption	wh3_dlc23_chd_tower	false
rhox_mar_foreign_income	wh3_dlc23_chd_factory	false
rhox_mar_foreign_income	wh3_dlc23_chd_outpost	false
rhox_mar_foreign_income	wh3_dlc23_chd_tower	false
rhox_mar_foreign_trade	wh3_dlc23_chd_factory	false
rhox_mar_foreign_trade	wh3_dlc23_chd_outpost	false
rhox_mar_foreign_trade	wh3_dlc23_chd_tower	false
