unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/hkrul_mar_missile_infantry	
hkrul_mar_inf_boogschutter	wh_main_group_empire
hkrul_mar_inf_boogschutter	wh_main_group_empire_reikland
hkrul_mar_art_scheepskanon	wh2_dlc11_cst_rogue_freebooters_of_port_royale
hkrul_mar_art_scheepskanon	wh2_dlc11_cst_shanty_middle_sea_brigands
hkrul_mar_art_scheepskanon	wh2_main_rogue_pirates_of_the_far_sea
hkrul_mar_art_scheepskanon	wh2_main_rogue_pirates_of_the_southern_ocean
hkrul_mar_art_scheepskanon	wh2_main_rogue_pirates_of_trantio
hkrul_mar_art_scheepskanon	wh_main_group_empire
hkrul_mar_art_scheepskanon	wh_main_group_empire_reikland
hkrul_mar_inf_crossbow	wh2_dlc09_rogue_pilgrims_of_myrmidia
hkrul_mar_inf_crossbow	wh2_main_rogue_bernhoffs_brigands
hkrul_mar_inf_crossbow	wh2_main_rogue_scions_of_tesseninck
hkrul_mar_inf_crossbow	wh3_main_rogue_alliance_of_order
hkrul_mar_inf_crossbow	wh3_main_rogue_the_treaty_of_ashshair
hkrul_mar_inf_crossbow	wh_main_group_empire
hkrul_mar_inf_crossbow	wh_main_group_empire_reikland
hkrul_mar_inf_crossbow	wh_main_group_kislev
hkrul_mar_inf_crossbow	wh_main_group_teb
hkrul_mar_inf_greatsword	wh3_main_rogue_alliance_of_order
hkrul_mar_inf_greatsword	wh3_main_rogue_the_treaty_of_ashshair
hkrul_mar_inf_greatsword	wh_main_group_empire
hkrul_mar_inf_greatsword	wh_main_group_empire_reikland
hkrul_mar_inf_greatsword	wh_main_group_kislev
hkrul_mar_inf_greatsword	wh_main_group_teb
hkrul_mar_inf_halberd	wh2_dlc11_cst_rogue_freebooters_of_port_royale
hkrul_mar_inf_halberd	wh2_dlc11_cst_shanty_middle_sea_brigands
hkrul_mar_inf_halberd	wh2_main_rogue_gerhardts_mercenaries
hkrul_mar_inf_halberd	wh3_main_rogue_alliance_of_order
hkrul_mar_inf_halberd	wh3_main_rogue_the_treaty_of_ashshair
hkrul_mar_inf_halberd	wh_main_group_empire
hkrul_mar_inf_halberd	wh_main_group_empire_reikland
hkrul_mar_inf_halberd	wh_main_group_kislev
hkrul_mar_inf_halberd	wh_main_group_teb
hkrul_mar_inf_handgun	wh2_dlc11_cst_rogue_freebooters_of_port_royale
hkrul_mar_inf_handgun	wh2_dlc11_cst_shanty_middle_sea_brigands
hkrul_mar_inf_handgun	wh2_main_rogue_gerhardts_mercenaries
hkrul_mar_inf_handgun	wh2_main_rogue_jerrods_errantry
hkrul_mar_inf_handgun	wh2_main_rogue_pirates_of_the_far_sea
hkrul_mar_inf_handgun	wh2_main_rogue_pirates_of_the_southern_ocean
hkrul_mar_inf_handgun	wh2_main_rogue_pirates_of_trantio
hkrul_mar_inf_handgun	wh3_main_rogue_alliance_of_order
hkrul_mar_inf_handgun	wh3_main_rogue_the_treaty_of_ashshair
hkrul_mar_inf_handgun	wh_main_group_empire
hkrul_mar_inf_handgun	wh_main_group_empire_reikland
hkrul_mar_inf_handgun	wh_main_group_kislev
hkrul_mar_inf_handgun	wh_main_group_teb
hkrul_mar_inf_swords	wh2_dlc11_cst_rogue_freebooters_of_port_royale
hkrul_mar_inf_swords	wh2_main_rogue_bernhoffs_brigands
hkrul_mar_inf_swords	wh2_main_rogue_scions_of_tesseninck
hkrul_mar_inf_swords	wh3_main_rogue_alliance_of_order
