unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/!snek_hkrul_marienburg_landship	
snek_hkrul_mar_landship	wh_main_group_empire_reikland
snek_hkrul_mar_landship	wh_main_group_empire
snek_hkrul_mar_landship	wh2_dlc11_cst_rogue_freebooters_of_port_royale
snek_hkrul_mar_landship	wh2_main_rogue_pirates_of_the_far_sea
snek_hkrul_mar_landship	wh2_main_rogue_pirates_of_trantio
snek_hkrul_mar_landship	wh2_main_rogue_bernhoffs_brigands
snek_hkrul_mar_landship	wh2_main_rogue_scions_of_tesseninck
snek_hkrul_mar_landship	wh2_main_rogue_pirates_of_the_southern_ocean
snek_hkrul_mar_landship	wh2_main_rogue_gerhardts_mercenaries
