phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_camille			
hkrul_dauphine_pal	stat_damage_reflection	8.0000	add
hkrul_dauphine_sword	stat_melee_damage_base	1.2500	mult
hkrul_dauphine_sword	stat_melee_defence	20.0000	add
ovn_lore_passive_sea_legs	scalar_speed	0.7500	mult
ovn_lore_passive_sea_legs	stat_melee_defence	-10.0000	add
ovn_spell_sea_drowned_mans_face_upgraded	stat_melee_attack	-40.0000	add
ovn_spell_sea_drowned_mans_face_upgraded	stat_morale	-8.0000	add
ovn_spell_sea_drowned_mans_face	stat_melee_attack	-24.0000	add
ovn_spell_sea_drowned_mans_face	stat_morale	-8.0000	add
ovn_spell_sea_fountain_of_life_upgraded	stat_morale	5.0000	add
ovn_spell_sea_fountain_of_life	stat_morale	5.0000	add
hkrul_mar_rusty	scalar_speed	0.8500	mult
hkrul_mar_rusty	scalar_charge_speed	0.8500	mult
