phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_mar_caravan			
hkrul_mundvard_ability_shadow_walk	stat_resistance_physical	20.0000	add
hkrul_mundvard_ability_shadow_walk	stat_resistance_magic	20.0000	add
hkrul_alicia_monkshood	stat_resistance_magic	-10.0000	add
hkrul_alicia_monkshood	stat_melee_attack	-4.0000	add
hkrul_alicia_ring	stat_resistance_physical	15.0000	add
hkrul_alicia_ring	stat_damage_reflection	15.0000	add
hkrul_roelef_rally	stat_morale	15.0000	add
hkrul_roelef_rally	stat_resistance_physical	15.0000	add
hkrul_norsca_raiders	stat_melee_defence	10.0000	add
hkrul_kislev_buff	stat_melee_attack	12.0000	add
hkrul_bret_buff	scalar_charge_speed	1.2000	mult
hkrul_landship_buff	stat_mass	1.1500	mult
hkrul_landship_buff	stat_charge_bonus	1.2000	mult
hkrul_bard_music	stat_morale	-8.0000	add
hkrul_bard_music	stat_melee_defence	-8.0000	add
hkrul_elf_shot	stat_accuracy	80.0000	add
hkrul_elf_shot	scalar_missile_damage_base	1.1500	mult
hkrul_elf_buff	stat_resistance_physical	1.2000	mult
hkrul_elf_buff	stat_melee_damage_base	1.2000	mult
hkrul_mar_trident	stat_melee_attack	25.0000	add
hkrul_mar_trident	stat_charge_bonus	15.0000	add
hkrul_mar_shield_manann	stat_melee_defence	20.0000	add
hkrul_mar_rapier	scalar_splash_attack_power	1.3000	mult
hkrul_mar_rapier	stat_bonus_vs_infantry	20.0000	add
hkrul_mar_cleansing	stat_melee_damage_base	1.3000	mult
hkrul_mar_lupo	stat_resistance_physical	1.6000	mult
hkrul_mar_lupo	stat_resistance_missile	1.6000	mult
hkrul_mar_flock	stat_bonus_vs_large	10.0000	add
hkrul_mar_flock	stat_damage_reflection	10.0000	add
