phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_mar			
hkrul_hendrik_pelican	stat_morale	6.0000	add
hkrul_jk_pork	stat_mass	1.2000	mult
hkrul_jk_corn	scalar_speed	1.1000	mult
hkrul_jk_corn	scalar_charge_speed	1.1500	mult
hkrul_jk_pork	stat_morale	3.0000	add
hkrul_jk_corn	stat_morale	3.0000	add
hkrul_jk_kislev	stat_resistance_physical	5.0000	add
hkrul_jk_norsca	stat_resistance_missile	10.0000	add
hkrul_jk_kislev	stat_armour	3.0000	add
hkrul_jk_norsca	stat_melee_defence	5.0000	add
hkrul_jk_politician	stat_melee_attack	-6.0000	add
hkrul_jk_politician	stat_melee_defence	-6.0000	add
hkrul_pg_hook	stat_melee_defence	-15.0000	add
hkrul_pg_hook	stat_melee_damage_ap	0.7000	mult
hkrul_pg_cutlass	stat_melee_damage_ap	1.3000	mult
hkrul_pg_cutlass	stat_damage_reflection	8.0000	add
hkrul_pg_cutlass	stat_bonus_vs_infantry	20.0000	add
hkrul_carriers_promise	stat_morale	10.0000	add
hkrul_hendrik_bargain	stat_morale	-25.0000	add
hkrul_hendrik_bargain	stat_resistance_physical	0.7000	mult
hkrul_hendrik_faith	stat_resistance_all	20.0000	add
hkrul_carriers_promise	stat_melee_attack	2.0000	add
hkrul_jk_slippery	scalar_speed	1.3500	mult
hkrul_jk_slippery	stat_melee_defence	24.0000	add
hkrul_hendrik_gold	scalar_charge_speed	0.4000	mult
hkrul_hendrik_gold	scalar_speed	0.5000	mult
hkrul_mar_scourge	stat_melee_attack	25.0000	add
hkrul_mar_scourge	stat_melee_defence	25.0000	add
hkrul_jk_hat	stat_resistance_magic	25.0000	add
hkrul_jk_hat	stat_resistance_physical	25.0000	add
hkrul_solkan_cloak	stat_resistance_physical	20.0000	add
hkrul_solkan_scales	stat_morale	-20.0000	add
hkrul_solkan_scales	stat_melee_defence	-15.0000	add
hkrul_solkan_ring	stat_resistance_all	30.0000	add
hkrul_mar_sea_bride_standard	stat_melee_attack	8.0000	add
hkrul_mar_sea_bride_standard	stat_morale	8.0000	add
hkrul_mar_schilder	scalar_charge_speed	1.1500	mult
hkrul_mar_schilder	scalar_speed	1.3000	mult
hkrul_caravan_training	stat_melee_defence	5.0000	add
hkrul_caravan_training	stat_melee_attack	5.0000	add
hkrul_mar_lantern	stat_spotting_forest	1.5000	mult
hkrul_mar_lantern	stat_melee_defence	8.0000	add
hkrul_egmond_amulet	stat_morale	-15.0000	add
hkrul_egmond_katana	stat_bonus_vs_infantry	20.0000	add
hkrul_egmond_katana	stat_melee_damage_ap	1.3000	mult
hkrul_mar_defenders	stat_bonus_vs_infantry	6.0000	add
hkrul_mar_fooger_backing	stat_shield_armour	15.0000	add
hkrul_mar_fooger_backing	stat_mass	1.3000	mult
hkrul_mar_egmond_brew	stat_melee_defence	8.0000	add
hkrul_mar_egmond_simca	stat_damage_reflection	25.0000	add
hkrul_mar_egmond_simca	stat_resistance_all	25.0000	add
hkrul_mar_egmond_rice	stat_mass	1.1500	mult
hkrul_mar_egmond_rice	stat_morale	5.0000	add
hkrul_cathay_mask	stat_melee_attack	15.0000	add
hkrul_carriers_promise_ror	stat_morale	12.0000	add
hkrul_carriers_promise_ror	stat_melee_defence	4.0000	add
hkrul_mar_stevedore	stat_melee_defence	20.0000	add
hkrul_mar_stevedore	scalar_dealt_collision_knocked_back_threshold_modifier	0.0150	mult
hkrul_mar_speaker	stat_melee_attack	5.0000	add
hkrul_jaan_bribe	stat_morale	-10.0000	add
hkrul_jaan_bribe	scalar_speed	0.8000	mult
hkrul_jaan_bribe	stat_melee_attack	-20.0000	add
hkrul_mar_lockpick	stat_armour	-15.0000	add
hkrul_mar_lockpick	stat_resistance_physical	0.7000	mult
hkrul_mar_dagger	stat_melee_damage_ap	1.2000	mult
hkrul_knot	stat_melee_defence	-15.0000	add
hkrul_tales	stat_melee_attack	5.0000	add
hkrul_tales	stat_morale	5.0000	add
hkrul_chains	scalar_charge_speed	0.6000	mult
hkrul_chains	scalar_speed	0.6000	mult
hkrul_new_artifact	stat_resistance_all	25.0000	add
hkrul_new_artifact	stat_melee_defence	25.0000	add
hkrul_kuypers_ring	stat_melee_defence	6.0000	add
hkrul_mar_mace	stat_melee_attack	15.0000	add
hkrul_mar_mace	stat_melee_damage_ap	1.2000	mult
hkrul_precise	scalar_missile_damage_ap	1.3000	mult
hkrul_precise	stat_resistance_missile	25.0000	add
hkrul_anchor	scalar_missile_damage_base	1.2500	mult
hkrul_anchor	stat_melee_defence	6.0000	add
hkrul_message	stat_morale	20.0000	add
hkrul_message	stat_resistance_all	10.0000	add
hkrul_bullet	scalar_missile_explosion_damage_base	1.3000	mult
hkrul_bullet	scalar_missile_range	1.3000	mult
hkrul_whipped	stat_resistance_physical	15.0000	add
hkrul_whale	stat_bonus_vs_large	10.0000	add
hkrul_whale	stat_melee_defence	10.0000	add
hkrul_anchor_out	stat_melee_defence	25.0000	add
hkrul_anchor_out	stat_shield_armour	25.0000	add
