key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/hkrul_mar																			
hkrul_jk	0	0	240	120	3.0000	axe	hammer	medium	5	1.0000	1.2500	0.0000	false		0	10	3.6000		false
hkrul_burgher_spear	16	0	8	20	2.0000	spear	halberd		4	1.0000	10.0000	0.0000	false		0	10	4.8000		false
hkrul_privateer_dual_swords	0	8	28	4	1.0000	sword	sword		4	1.0000	10.0000	0.0000	false		0	10	3.4000		false
hkrul_solkan_greatsword	0	20	120	265	3.0000	sword	sword	medium	8	1.0000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_mar_goedendag	0	5	15	16	1.0000	axe	club		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
hkrul_solkan_mirror	0	0	0	0	3.0000	sword	sword	medium	5	1.0000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_mar_mananns_blade_rors	0	4	24	8	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.2000		false
mananns_blades_bannerman	1	0	1	1	1.0000	spear	halberd	small	1	1.0000	0.7500	0.0000	false		0	10	9999.0000		false
hkrul_mar_merchant_sword	0	0	250	110	3.0000	sword	sword	medium	3	1.0000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_mar_sons_of_manann	0	0	30	10	1.0000	lance	spear		1	1.0000	0.7500	0.0000	true		0	10	5.1000		false
hkrul_mar_knights_cleansing_flame	8	0	35	15	1.0000	lance	spear		1	1.0000	0.7500	0.0000	false		0	10	5.1000		false
hkrul_alicia_weapon	0	0	295	140	3.0000	sword	sword	medium	6	1.0000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_lisette_weapon	0	20	285	115	3.0000	sword	sword	medium	8	1.0000	1.0000	0.0000	false		0	10	4.0000		false
ovn_mar_war_altar_of_manann	0	15	165	80	3.0000	axe	claw	very_large	4	1.0000	1.0000	0.0000	true		3	2	4.2000		false
ovn_mar_trident	0	15	20	9	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	3.9000		false
hkrul_mar_knights_mariner	0	0	24	8	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
