character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/hkrul_mar			
cam_hu1_empire_sword	hkrul_pg_barded_warhorse	cam_hu1_empire_hr1_warhorse_sword	0
cam_hu1_empire_sword	hkrul_hendrik_warhorse	cam_hu1_empire_hr1_warhorse_sword	0
cam_lord_hu1_wh3_marienburg_dagger_cane	hkrul_jk_barded_warhorse	cam_hu1_kislev_hr1_warhorse_mace_and_satchel	0
cam_pr7_felix_2h_sword	hkrul_solkan_horse	cam_hu1_dlc14_hr1_warhorse_repanse_2handed_sword	0
cam_hu1_empire_sword	hkrul_mar_egmond_horse	cam_hu1_empire_hr1_warhorse_sword	0
cam_hu1_empire_sword	hkrul_mar_egmond_longma	cam_hu1_pr8_hr1_pegasus_amethyst_staff_and_sword	0
cam_hu1_empire_sword_and_shield	hkrul_mar_munvard_02	cam_lord_hu1_cst_luthor_bi2_terrorgheist_wb_cutlass_and_pistol	0
cam_hu1_empire_sword_and_pistol	hkrul_mar_caravan_master_horse	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword	hkrul_hendrik_pegasus	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
