key	unit	unit_set
#ui_effect_excluded_units_and_sets_tables;0;db/ui_effect_excluded_units_and_sets_tables/rhox_mar		
732247050	hkrul_jk_barded_warhorse	
732247051	hkrul_pg_barded_warhorse	
732247052	hkrul_hendrik_warhorse	
732247053	hkrul_solkan_mirror	
732247054	hkrul_solkan_horse	
732247055	hkrul_hendrik_pegasus	
732247056	hkrul_mar_egmond_horse	
732247057	hkrul_mar_egmond_longma	
732247058	hkrul_mar_munvard_02	
732247059	hkrul_mar_caravan_master_horse	
732247060	hkrul_alicia_horse	
732247061	hkrul_alicia_hellsteed	
