key	option	group	string
#diplomacy_negotiation_string_options_tables;0;db/diplomacy_negotiation_string_options_tables/hkrul_marienburg_supplement			
accept	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
accept_state_gift	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
accept_ultimatum	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
acknowledge_accept	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
acknowledge_cancel_treaty	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
acknowledge_reject	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
acknowledge_war	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
cancel_treaty	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
demand_join_war	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
demand_payment	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
generic_offer_demand	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
generic_reject	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
generic_ultimatum	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
offer_cooperation	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
offer_demand_peace	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
offer_join_war	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
offer_payment	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
offer_peace_and_region	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
receive	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
reject_offer_demand_peace	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
reject_subjugation	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
reject_ultimatum	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
ultimatum_and_demand_region	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
war	0	rhox_rogue_spirits_of_stromfel_diplo	rhox_rogue_spirits_of_stromfel
