member	campaign
#campaign_group_member_criteria_campaigns_tables;0;db/campaign_group_member_criteria_campaigns_tables/rhox_mar_iee	
rhox_mar_non_mar_trade_karl_iee	cr_combi_expanded
rhox_mar_non_mar_trade_golden_iee	cr_combi_expanded
rhox_mar_non_mar_trade_hunts_iee	cr_combi_expanded
rhox_mar_non_mar_trade_volkmar_iee	cr_combi_expanded
rhox_mar_trade_marienburg_iee	cr_combi_expanded
rhox_mar_trade_egmond_iee	cr_combi_expanded
rhox_mar_trade_mundbard_iee	cr_combi_expanded
rhox_mar_non_mar_trade_elspeth_iee	cr_combi_expanded
fooger_faction_group	cr_combi_expanded
