special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/hkrul_mar	
hkrul_mar_lore_tsien_tsin	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
hkrul_mar_lore_tsien_tsin	hkrul_mar_spell_tzeentch_treason_of_tzeentch
hkrul_mar_lore_tsien_tsin	hkrul_mar_szeentch_tzeentchs_firestorm
hkrul_mar_lore_tsien_tsin_upgraded	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded
hkrul_mar_lore_tsien_tsin_upgraded	hkrul_mar_spell_tzeentch_treason_of_tzeentch_upgraded
hkrul_mar_lore_tsien_tsin_upgraded	hkrul_mar_szeentch_tzeentchs_firestorm_upgraded
rhox_mar_mundvard	wh_main_spell_vampires_invocation_of_nehek
rhox_mar_mundvard	wh_main_spell_vampires_raise_dead
rhox_mar_mundvard	wh_dlc05_spell_shadow_the_penumbral_pendulum
rhox_mar_mundvard	wh_dlc05_lore_passive_smoke_and_mirrors
rhox_mar_mundvard	wh_dlc05_spell_shadow_pit_of_shades
rhox_mar_mundvard	wh_main_spell_vampires_curse_of_years
rhox_mar_mundvard	wh_main_spell_vampires_vanhels_danse_macabre
