special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/@cr_sam_marienburg	
ovn_lore_sea	ovn_lore_passive_sea_legs
ovn_lore_sea	ovn_spell_sea_fishermans_eye_mage
ovn_lore_sea	ovn_spell_sea_drowned_mans_face
ovn_lore_sea	ovn_spell_sea_wave_of_destruction
ovn_lore_sea	ovn_spell_sea_animate_water
ovn_lore_sea	ovn_spell_sea_fountain_of_life
ovn_lore_sea	ovn_spell_sea_water_blast
ovn_lore_sea_upgraded	ovn_spell_sea_drowned_mans_face_upgraded
ovn_lore_sea_upgraded	ovn_spell_sea_wave_of_destruction_upgraded
ovn_lore_sea_upgraded	ovn_spell_sea_animate_water_upgraded
ovn_lore_sea_upgraded	ovn_spell_sea_fountain_of_life_upgraded
ovn_lore_sea_upgraded	ovn_spell_sea_water_blast_mage_upgraded
