id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/rhox_dauphine		
cult_of_manann_faction_group	cult_of_manann_faction_group	0.0000
diplomacy_FactionGroup_cult_of_manann_faction	diplomacy_FactionGroup_HE_Princess	8.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_Negative	diplomacy_FactionGroup_HE_Princess_&_Negative	24.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen	diplomacy_FactionGroup_HE_Princess_&_OtherFactionBeastmen	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionBeastmen_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionBeastmen_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia	diplomacy_FactionGroup_HE_Princess_&_OtherFactionBretonnia	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionBretonnia_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionBretonnia_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos	diplomacy_FactionGroup_HE_Princess_&_OtherFactionChaos	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionChaos_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionChaos_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves	diplomacy_FactionGroup_HE_Princess_&_OtherFactionDarkElves	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionDarkElves_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionDarkElves_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf	diplomacy_FactionGroup_HE_Princess_&_OtherFactionDwarf	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionDwarf_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionDwarf_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire	diplomacy_FactionGroup_HE_Princess_&_OtherFactionEmpire	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionEmpire_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionEmpire_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin	diplomacy_FactionGroup_HE_Princess_&_OtherFactionGreenskin	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionGreenskin_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionGreenskin_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves	diplomacy_FactionGroup_HE_Princess_&_OtherFactionHighElves	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionHighElves_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionHighElves_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen	diplomacy_FactionGroup_HE_Princess_&_OtherFactionLizardmen	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionLizardmen_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionLizardmen_&_Positive	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven	diplomacy_FactionGroup_HE_Princess_&_OtherFactionSkaven	9.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven_&_Negative	diplomacy_FactionGroup_HE_Princess_&_OtherFactionSkaven_&_Negative	25.0000
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven_&_Positive	diplomacy_FactionGroup_HE_Princess_&_OtherFactionSkaven_&_Positive	25.0000
