key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	mom_vortex_key	align_orientation_to_target_unit
#unit_special_abilities_tables;72;db/unit_special_abilities_tables/hkrul_mar_caravan																																																																						
hkrul_mundvard_ability_sword_wsoran	1.0000	48.0000	2	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	3.0000	false	211299023		hkrul_mar_inf_cairn_wraiths_summoned_0	cast_up_medium	0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000		assault_opportunity	wh_main_spell_vampires_raise_dead		vo_battle_special_ability_raise_dead	117.0000	117.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
hkrul_mundvard_ability_wsoran	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	211299024				0.0000	0.0000	wh_abilities_generic_regeneration_no_ring					0.0000					vo_battle_special_ability_generic_response	81.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
hkrul_mundvard_ability_shadow_walk	30.0000	70.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	211299022				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					false
hkrul_alicia_monkshood	-1.0000	-1.0000	-1	25.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	211299025				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_generic_response	150.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	debuff_unit	3	false	1.0000		true					false
hkrul_alicia_ring	30.0000	70.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	211299026				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					false
hkrul_alicia_rose	18.0000	100.0000	3	0.0000	false	0	1	false	60.0000		false	true	false	120.0000	false	false	0.0000	false	211299027				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000		hex_melee	wh_group_hero		vo_battle_special_ability_spell_cast_negative	90.0000	90.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
hkrul_roelef_rally	18.0000	90.0000	-1	35.0000	true	-1	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	211299028				0.0000	0.0000	wh_abilities_generic_buff					0.0000		augment_melee_area	wh_group_lord_ability		vo_battle_special_ability_generic_response	100.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		false					false
hkrul_norsca_raiders	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	211299029				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	100.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	true	buff_self	1	false	1.0000		true					false
hkrul_cathay_mask	25.0000	90.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	false	211299030				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000					vo_battle_special_ability_generic_response	72.0000	68.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
