key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group	mom_vortex_key	align_orientation_to_target_unit
#unit_special_abilities_tables;72;db/unit_special_abilities_tables/hkrul_mar																																																																						
hkrul_hendrik_pelican	-1.0000	-1.0000	-1	30.0000	true	-1	0	true	0.0000		false	false	false	0.0000	false	false	0.0000	true	22059432				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	88.0000	88.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_jk_pork	-1.0000	-1.0000	-1	45.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	22059412				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	72.0000	72.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_jk_corn	-1.0000	-1.0000	-1	45.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	22059413				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	72.0000	72.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_jk_norsca	-1.0000	-1.0000	-1	60.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	22059414				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	72.0000	72.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_jk_kislev	-1.0000	-1.0000	-1	60.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	22059415				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	72.0000	72.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_jk_politician	-1.0000	-1.0000	-1	35.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	22059416				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_generic_response	150.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	debuff_unit	3	false	1.0000		true					false
hkrul_mar_ability_bombard	4.0000	90.0000	4	0.0000	false	0	0	false	15.0000		false	true	true	-1.0000	false	false	3.0000	false	22059417				0.0000	0.0000	wh_army_abilities_generic_wind	wh_army_abilities_generic_wind	wh2_dlc11_abilities_zhufbar_launch		hkrul_mar_army_bombard	0.0000		vortex_wind	wh_group_unit		vo_battle_special_ability_generic_response	0.0000	200.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					false
hkrul_pg_hook	18.0000	120.0000	-1	0.0000	false	0	1	true	0.0000		false	true	false	75.0000	false	false	0.0000	false	22059418				0.0000	0.0000	wh_abilities_generic_debuff_no_ring	wh_abilities_generic_debuff_no_ring				0.0000		hex_melee	wh_group_lord_ability		vo_battle_special_ability_generic_response	159.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_pg_bomb	-1.0000	60.0000	1	0.0000	false	0	0	false	-1.0000	hkrul_pg_bomb	false	true	false	70.0000	false	false	0.4000	false	22059419			cast_forward_short	0.0000	0.0000	wh_spell_generic_missile	wh_spell_generic_missile				0.0000		projectile_explosive	wh_group_hero		vo_battle_special_ability_generic_response	0.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_unit	1	false	1.0000		true					false
hkrul_pg_cutlass	25.0000	90.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	false	30040512				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000					vo_battle_special_ability_generic_response	72.0000	68.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
hkrul_carriers_promise	-1.0000	-1.0000	-1	50.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	30040632				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	25.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		true					false
hkrul_hendrik_bargain	10.0000	120.0000	-1	0.0000	false	0	1	true	0.0000		false	true	false	75.0000	false	false	0.0000	false	22059453				0.0000	0.0000	wh_abilities_generic_debuff_no_ring	wh_abilities_generic_debuff_no_ring				0.0000		hex_melee	wh_group_lord_ability		vo_battle_special_ability_generic_response	159.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_army	1	false	1.0000		true					false
