faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/rhox_dauphine	
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
