faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/rhox_fooger	
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
