component	icon	state	sort_order
#campaign_payload_ui_details_tables;2;db/campaign_payload_ui_details_tables/hkrul_marienburg_supplement			
rhox_fooger_thane_rewards	ui/campaign ui/effect_bundles/thane.png	default	0
rhox_dauphine_blue_pirate_first_0	ui/flags/wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_1	ui/flags/wh2_dlc11_cst_rogue_bleak_coast_buccaneers/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_2	ui/flags/wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_3	ui/flags/wh2_dlc11_cst_rogue_freebooters_of_port_royale/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_4	ui/flags/wh2_dlc11_cst_rogue_grey_point_scuttlers/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_5	ui/flags/wh2_dlc11_cst_rogue_terrors_of_the_dark_straights/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_6	ui/flags/wh2_dlc11_cst_rogue_the_churning_gulf_raiders/mon_24.png	default	0
rhox_dauphine_blue_pirate_first_7	ui/flags/wh2_dlc11_cst_harpoon_the_sunken_land_corsairs/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_0	ui/flags/wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_1	ui/flags/wh2_dlc11_cst_rogue_bleak_coast_buccaneers/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_2	ui/flags/wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_3	ui/flags/wh2_dlc11_cst_rogue_freebooters_of_port_royale/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_4	ui/flags/wh2_dlc11_cst_rogue_grey_point_scuttlers/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_5	ui/flags/wh2_dlc11_cst_rogue_terrors_of_the_dark_straights/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_6	ui/flags/wh2_dlc11_cst_rogue_the_churning_gulf_raiders/mon_24.png	default	0
rhox_dauphine_blue_pirate_second_7	ui/flags/wh2_dlc11_cst_harpoon_the_sunken_land_corsairs/mon_24.png	default	0
rhox_dauphine_whale_hunt	ui/campaign ui/effect_bundles/cst_harpoon.png	default	0
rhox_dauphine_whale_hunt_final	ui/campaign ui/effect_bundles/cst_harpoon.png	default	0
rhox_dauphine_whale_weak_1	ui/campaign ui/effect_bundles/effect_bundle_hunt_continue.png	default	0
rhox_dauphine_whale_weak_2	ui/campaign ui/effect_bundles/effect_bundle_hunt_continue.png	default	0
rhox_dauphine_whale_weak_3	ui/campaign ui/effect_bundles/effect_bundle_hunt_continue.png	default	0
rhox_dauphine_whale_weak_4	ui/campaign ui/effect_bundles/effect_bundle_hunt_continue.png	default	0
rhox_dauphine_whale_weak_5	ui/campaign ui/effect_bundles/effect_bundle_hunt_continue.png	default	0
