deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/hkrul_mar	
unit_is_large	hkrul_hendrik_pelican
morale_is_wavering_or_lower	hkrul_solkan_cloak
health_above_50%	hkrul_mar_sea_bride_standard
health_below_50%	hkrul_mar_schilder
morale_is_lower_than_half_of_base_morale	hkrul_hendrik_pelican
morale_is_lower_than_half_of_base_morale	hkrul_mar_lantern
losing_melee_combat	hkrul_mar_defenders
fatigue_is_below_very_tired	hkrul_mar_egmond_brew
out_of_melee	hkrul_mundvard_ability_wsoran
winning_melee_combat	hkrul_kislev_buff
fatigue_is_below_winded	hkrul_bret_buff
winning_melee_combat	hkrul_mar_dagger
morale_is_wavering_or_lower	hkrul_kuypers_ring
out_of_melee	hkrul_alicia_monkshood
