faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/!hkrul_mar				
	snek_hkrul_mar_landship	snek_hkrul_mar_veh_landship_crew	snek_hkrul_mar_landship_crew	snek_hkrul_marienburg_landship
	snek_hkrul_mar_ror_landship	snek_hkrul_mar_veh_landship_crew	snek_hkrul_mar_landship_crew	snek_hkrul_marienburg_landship_ror
	snek_hkrul_mar_crew_gunners	snek_hkrul_mar_crew_gunners	snek_hkrul_mar_landship_crew	hkrul_landship_crew
	hkrul_jk	hkrul_jk	hkrul_jk	hkrul_jk
	hkrul_jk_barded_warhorse	hkrul_jk	hkrul_jk	hkrul_jk
	hkrul_pg	hkrul_pg	hkrul_pg	hkrul_pg
	hkrul_pg_barded_warhorse	hkrul_pg	hkrul_pg	hkrul_pg
	hkrul_pion	hkrul_pion	hkrul_pion	hkrul_pion
	hkrul_hendrik	hkrul_mar_simon	hkrul_mar_simon	hkrul_hendrik
	hkrul_hendrik_warhorse	hkrul_mar_simon	hkrul_mar_simon	hkrul_hendrik
	hkrul_hendrik_pegasus	hkrul_mar_simon	hkrul_mar_simon	hkrul_hendrik
	hkrul_klumpf	hkrul_klumpf	hkrul_klumpf	hkrul_klumpf
	hkrul_carriers	hkrul_carriers	hkrul_carriers	hkrul_mar_carrier_will
	hkrul_carriers_ror	hkrul_carriers_ror	hkrul_carriers_ror	hkrul_mar_carrier_will_ror
	hkrul_burgher	hkrul_burgher	hkrul_burgher	hkrul_mar_burgher_militia
	hkrul_mar_handguns	hkrul_mar_handguns	hkrul_mar_handguns	hkrul_mar_handguns
	hkrul_privateers	hkrul_privateers	hkrul_privateers	thm_privaters
	hkrul_privateers_dual_swords	hkrul_privateers_dual_swords	hkrul_privateers_dual_swords	hkrul_mar_sentinels
	hkrul_solkan	hkrul_solkan	hkrul_solkan	hkrul_solkan
	hkrul_solkan_horse	hkrul_solkan	hkrul_solkan	hkrul_solkan
	hkrul_solkan_mirror	hkrul_solkan_mirror	hkrul_solkan	hkrul_solkan
	hkrul_crispijn	hkrul_crispijn	hkrul_crispijn	hkrul_crispijn
	hkrul_mar_bordermen_ror	hkrul_mar_bordermen_ror	wh2_dlc13_emp_outriders_ror	wh2_dlc13_emp_outriders_ror
	hkrul_mar_egmond	hkrul_mar_egmond	hkrul_mar_egmond	hkrul_mar_egmond
	hkrul_mar_egmond_horse	hkrul_mar_egmond_horse	hkrul_mar_egmond	hkrul_mar_egmond
	hkrul_mar_egmond_longma	hkrul_mar_egmond_longma	hkrul_mar_egmond	hkrul_mar_egmond
	hkrul_mar_caravan_master	hkrul_mar_caravan_master	hkrul_mar_caravan_master	hkrul_mar_caravan_master
	hkrul_mar_munvard_01	hkrul_mar_munvard	hkrul_mar_munvard	hkrul_mar_munvard
	hkrul_mar_munvard_02	hkrul_mar_munvard	hkrul_mar_munvard	hkrul_mar_munvard
	hkrul_mar_cav_rijders	hkrul_mar_cav_rijders	hkrul_mar_cav_rijders	hkrul_mar_rijder
	hkrul_mar_cav_rijders_crossbow	hkrul_mar_cav_rijders_crossbow	hkrul_mar_cav_rijders_crossbow	hkrul_mar_crossbow_rijders
	hkrul_mar_sons_of_manann	hkrul_mar_sons_of_manann	mar_sons_of_manann	hkrul_mar_sons_manann
	hkrul_mar_art_scheepskanon	hkrul_mar_art_scheepskanon_crew	hkrul_mar_soldier_artillery_crew	wh_main_emp_cannon
ovn_mar_house_den_euwe	hkrul_mar_culverin	hkrul_mar_art_scheepskanon_crew	mar_soldier_goedendag	culverin_egmond
	hkrul_mar_culverin	hkrul_mar_art_scheepskanon_crew	mar_soldier_goedendag	hkrul_mar_culverin
	hkrul_mar_naval_paixhan	hkrul_mar_art_scheepskanon_crew	hkrul_mar_soldier_artillery_crew	hkrul_mar_paixhan
	hkrul_mar_art_paixhan_ror	hkrul_mar_art_scheepskanon_crew	hkrul_mar_soldier_artillery_crew	hkrul_mar_mortar_ror
	hkrul_mar_hellblaster	hkrul_mar_art_scheepskanon_crew	mar_soldier_goedendag	wh_main_emp_helblaster_volley_gun
	hkrul_mar_knights_griffon	hkrul_mar_knights_griffon	mar_knights_mariner	hkrul_mar_griffon
	hkrul_mar_hellstorm	hkrul_mar_art_scheepskanon_crew	mar_soldier_goedendag	wh_main_emp_helstorm_rocket
	hkrul_mar_mortar	hkrul_mar_art_scheepskanon_crew	hkrul_mar_soldier_artillery_crew	wh_main_emp_mortar
	hkrul_mar_teuling	hkrul_mar_teuling	hkrul_mar_teuling	hkrul_mar_teuling
	hkrul_mar_inf_boogschutter	hkrul_mar_inf_boogschutter	mar_ranged_militia_handbow	hkrul_mar_archers
	hkrul_mar_inf_crossbow	hkrul_mar_inf_crossbow	mar_ranged_militia_crossbow	hkrul_mar_crossbow
ovn_mar_house_den_euwe	hkrul_mar_inf_greatsword	hkrul_mar_inf_greatsword	hkrul_mar_inf_greatsword	greatswords_egmond
	hkrul_mar_inf_greatsword	hkrul_mar_inf_greatsword	hkrul_mar_inf_greatsword	hkrul_mar_greatswords
	hkrul_mar_inf_halberd	hkrul_mar_inf_halberd	hkrul_mar_inf_halberd	hkrul_mar_hellebaard
	hkrul_mar_inf_handgun	hkrul_mar_inf_handgun	mar_ranged_militia_klovenier	musket_man
ovn_mar_house_den_euwe	hkrul_mar_inf_handgun	hkrul_mar_inf_handgun	mar_ranged_militia_klovenier	musket_man_egmond
	hkrul_mar_inf_swords	hkrul_mar_inf_swords	hkrul_mar_inf_swords	hkrul_mar_swordsman
ovn_mar_house_den_euwe	hkrul_mar_inf_swords	hkrul_mar_inf_swords	hkrul_mar_inf_swords	mrg_swordsman_egmond
	hkrul_mar_inf_goedendagers	hkrul_mar_inf_goedendagers	mar_soldier_goedendag	hkrul_mar_goedendager
	hkrul_mar_black_caps	hkrul_mar_black_caps	hkrul_mar_black_caps	hkrul_mar_black_caps
	hkrul_mar_mananns_blades_ror	hkrul_mar_mananns_blades_ror	mar_manann_blades	hkrul_mar_mananns_blade
	hkrul_mar_riverwarden	hkrul_mar_riverwarden	hkrul_mar_riverwarden	ovn_mar_ahr_riverwardens_0
	hkrul_mar_riverwarden_ror	hkrul_mar_riverwarden_ror	hkrul_mar_riverwarden_ror	hkrul_mar_schilder
	hkrul_mar_qual_great	hkrul_mar_qual_great	hkrul_mar_qual_great	hkrul_mar_qual_gw
	hkrul_mar_qual	hkrul_mar_qual	hkrul_mar_qual	hkrul_mar_qual
	hkrul_mar_defenders	hkrul_mar_defenders	hkrul_mar_defenders	hkrul_mar_defenders
	hkrul_alicia	hkrul_alicia	hkrul_alicia	hkrul_alicia
	hkrul_alicia_horse	hkrul_alicia	hkrul_alicia	hkrul_alicia
	hkrul_alicia_hellsteed	hkrul_alicia	hkrul_alicia	hkrul_alicia
	hkrul_mar_caravan_master_horse	hkrul_mar_caravan_master	hkrul_mar_caravan_master	hkrul_mar_caravan_master
	hkrul_guzunda	hkrul_guzunda	hkrul_guzunda	hkrul_guzunda
	hkrul_mar_cleansing_flame	hkrul_mar_cleansing_flame	hkrul_mar_cleansing_flame	thm_cleansingflame
	hkrul_lisette	hkrul_lisette	hkrul_lisette	hkrul_lisette
	hkrul_mar_talons	hkrul_mar_talons	mrg_thm_red_talons_handgunners	thm_redtalons
	rhox_mar_cst_inf_sartosa_militia_0	wh2_dlc11_cst_inf_sartosa_militia_0	wh2_dlc11_cst_sartosa_militia	wh2_dlc11_cst_sartosa_militia
	rhox_mar_cst_inf_sartosa_free_company_0	wh2_dlc11_cst_inf_sartosa_free_company_0	wh2_dlc11_cst_sartosa_free_company	wh2_dlc11_cst_sartosa_free_company
	hkrul_cross	hkrul_cross	hkrul_cross	hkrul_cross
	hkrul_fooger_ror	hkrul_fooger_ror	hkrul_fooger_ror	hkrul_fooger_ror
	hkrul_harb	hkrul_harb	hkrul_harb	hkrul_harb
	hkrul_lector_manann	hkrul_lector_manann	hkrul_lector_manann	hkrul_lector_manann_1
	hkrul_lector_manann2	hkrul_lector_manann_2	hkrul_lector_manann_2	hkrul_lector_manann_2
	ovn_mar_cha_warrior_priest_0	ovn_mar_cha_warrior_priest_0	ovn_mar_ch_warrior_priest_campaign_01_altar	placeholder
	hkrul_lector_manann_mount	ovn_mar_cha_warrior_priest	ovn_mar_ch_warrior_priest	placeholder
	hkrul_slaver	hkrul_slaver	hkrul_slaver	hkrul_slaver
