id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/hkrul_mar				
223737730	hkrul_mar_caravan_completed_erengrad	GEN_TARGET_MODEL		default
223737731	hkrul_mar_caravan_completed_altdorf	GEN_TARGET_MODEL		default
223737732	hkrul_mar_caravan_completed	GEN_TARGET_MODEL		default
223737733	hkrul_mar_caravan_completed_tilea	GEN_TARGET_MODEL		default
223737734	hkrul_mar_caravan_completed_zharr_nagrund	VAR_CHANCE	0	default
223737735	hkrul_mar_caravan_completed_frozen_landing	VAR_CHANCE	0	default
223737736	hkrul_mar_caravan_completed_novchozy	GEN_TARGET_MODEL		default
223737737	hkrul_mar_caravan_completed_altdorf	VAR_CHANCE	0	default
223737738	hkrul_mar_caravan_completed_received	VAR_CHANCE	0	default
223737739	hkrul_mar_caravan_completed_castle_drakenhof	VAR_CHANCE	0	default
223737740	hkrul_mar_caravan_completed_marienburg	GEN_TARGET_MODEL		default
223737741	hkrul_mar_caravan_completed_marienburg	VAR_CHANCE	0	default
223737742	hkrul_mar_caravan_completed_estalia	VAR_CHANCE	0	default
223737743	hkrul_mar_caravan_completed_frozen_landing	GEN_TARGET_MODEL		default
223737744	hkrul_mar_caravan_completed_received	GEN_TARGET_MODEL		default
223737745	hkrul_mar_caravan_completed_erengrad	VAR_CHANCE	0	default
223737746	hkrul_mar_caravan_completed_stone_bay	GEN_TARGET_MODEL		default
223737747	hkrul_mar_caravan_completed_estalia	GEN_TARGET_MODEL		default
223737748	hkrul_mar_caravan_completed_novchozy	VAR_CHANCE	0	default
223737749	hkrul_mar_caravan_completed_stone_bay	VAR_CHANCE	0	default
223737750	hkrul_mar_caravan_completed_castle_drakenhof	GEN_TARGET_MODEL		default
223737751	hkrul_mar_caravan_completed	VAR_CHANCE	0	default
223737752	hkrul_mar_caravan_completed_ind	VAR_CHANCE	0	default
223737753	hkrul_mar_caravan_completed_zharr_nagrund	GEN_TARGET_MODEL		default
223737754	hkrul_mar_caravan_completed_tilea	VAR_CHANCE	0	default
223737755	hkrul_mar_caravan_completed_ind	GEN_TARGET_MODEL		default
