member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/rhox_dauphine	
diplomacy_FactionGroup_cult_of_manann_faction_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_cult_of_manann_faction_&_Positive	friendly
