member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/rhox_fooger	
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionChaos_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionChaos_&_Positive	friendly
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionVamp_&_Negative	hostile
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionVamp_&_Positive	friendly
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_Positive	friendly
