faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/hkrul_mar						
		1	hkrul_pg_special_1_0		x	6
		1	hkrul_jk_special_1_0		x	6
		1	hkrul_jk_special_2_0		x	8
		1	hkrul_pg_special_0_1		x	3
		1	hkrul_pg_special_0_3		x	6
		1	hkrul_pg_special_0_4		x	8
		1	hkrul_jk_special_0_1		x	6
		1	hkrul_jk_special_0_3		x	11
		1	hkrul_jk_special_0_4		x	14
		1	hkrul_jk_special_0_7		x	4
		1	hkrul_jk_special_0_2		x	8
		1	hkrul_hendrik_special_0_2		x	5
		1	hkrul_hendrik_special_0_3		x	7
		1	hkrul_hendrik_special_0_1		x	3
		1	hkrul_hendrik_special_1_0		x	5
		1	hkrul_jk_mount_barded_warhorse		x	8
		1	hkrul_pg_mount_barded_warhorse		x	7
		1	hkrul_hendrik_mount_barded_warhorse		x	7
		1	hkrul_solkan_horse		x	9
		1	hkrul_hendrik_pegasus		x	14
		1	hkrul_caravan_lord_special_1_0		x	5
		1	hkrul_egmond_1_0		x	7
		1	hkrul_egmond_0_1		x	10
		1	hkrul_egmond_0_2		x	13
		1	hkrul_egmond_tze_magic_tzeentch_01_blue_fire_of_tzeentch_lord		x	2
		1	hkrul_mar_egmond_horse		x	8
		1	hkrul_egmond_longma		x	14
		1	hkrul_mar_mundvard_beast		x	13
		1	hkrul_hendrik_special_0_5		x	9
		1	hkrul_crispijn_special_1_0		x	5
		1	hkrul_crispijn_special_0_1		x	6
		1	hkrul_caravan_lord_horse		x	8
		1	hkrul_guzunda_special_1_0		x	5
		1	hkrul_solkan_special_1_0		x	9
		1	hkrul_solkan_special_0_1		x	5
		1	hkrul_solkan_special_0_2		x	8
		1	hkrul_solkan_special_0_3		x	11
		1	hkrul_alicia_special_1_0		x	7
		1	hkrul_mundvard_special_1_0		x	9
		1	hkrul_lisette_special_1_0		x	5
		1	hkrul_lisette_special_0_1		x	2
		1	hkrul_cross_special_1_0		x	5
		1	hkrul_cross_special_0_1		x	2
		1	hkrul_guzunda_special_0_1		x	9
		1	hkrul_mar_haeyndrik_shield		x	2
		1	hkrul_jaan_special_4_0		x	2
		1	hkrul_harb_special_1_0		x	5
		1	hkrul_harb_special_0_1		x	8
		1	hkrul_harb_special_0_2		x	13
		1	hkrul_lector_mount		x	15
		1	hkrul_manann_ward		x	7
		1	hkrul_caravan_lord_special_0_1		x	9
		1	hkrul_caravan_lord_special_0_2		x	9
		2	hkrul_caravan_lord_special_0_1		x	14
		2	hkrul_caravan_lord_special_0_2		x	14
		1	hkrul_slaver_special_0_1		x	9
		1	hkrul_slaver_special_0_2		x	9
		2	hkrul_slaver_special_0_1		x	14
		2	hkrul_slaver_special_0_2		x	14
		1	hkrul_jk_special_0_5		x	4
		1	hkrul_jk_special_0_6		x	9
