faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/hkrul_camille						
		1	hkrul_dauphine_special_0_1		x	9
		1	hkrul_dauphine_special_1_0		x	6
		1	hkrul_dauphine_special_0_2		x	15
		1	hkrul_dauphine_mount		x	6
		1	hkrul_dauphine_mount_2		x	15
		1	hkrul_dauphine_mount_3		x	21
		1	hkrul_dauphine_banner		x	5
		1	hkrul_dauphine_Cultist		x	8
		1	hkrul_dauphine_sword		x	12
		1	ovn_skill_mar_wizard_unique_sea_wizard_warhorse		x	6
		1	ovn_skill_mar_wizard_unique_sea_wizard_barded_warhorse		x	9
		1	hkrul_arbatt_special_1_0		x	7
