ancillary	skill	use_quest_for_prefix
#character_skills_to_quest_ancillaries_tables;1;db/character_skills_to_quest_ancillaries_tables/hkrul_mar		
hkrul_mar_coin	hkrul_mar_coin	true
hkrul_mar_lea	hkrul_mar_lea	true
hkrul_mar_anc_sander	hkrul_mar_anc_sander	true
hkrul_solkan_item_greatsword	hkrul_solkan_item_greatsword	true
hkrul_solkan_ring	hkrul_solkan_ring	true
hkrul_mar_black_cap	hkrul_mar_black_cap	true
hkrul_mar_tze_amulet	hkrul_mar_tze_amulet	true
hkrul_egmond_katana	hkrul_egmond_katana	true
hkrul_mar_egmond_nippon	hkrul_mar_egmond_nippon	true
hkrul_mundvard_artifact_wsoran	hkrul_mundvard_artifact_wsoran	true
hkrul_mundvard_sword_wsoran	hkrul_mundvard_sword_wsoran	true
hkrul_mar_hilaria	hkrul_mar_hilaria	true
hkrul_alicia_ring	hkrul_alicia_ring	true
hkrul_alicia_rose	hkrul_alicia_rose	true
hkrul_mar_gruber	hkrul_mar_gruber	true
hkrul_mar_stevedore	hkrul_mar_stevedore	true
hkrul_mar_casanova	hkrul_mar_casanova	true
hkrul_mar_casino	hkrul_mar_casino	true
hkrul_mar_mace	hkrul_mar_mace	true
hkrul_mar_barrel	hkrul_mar_barrel	true
