key	position_x	position_y	available_contracts	active_contracts_count	rounds_to_refresh
#campaign_map_route_nodes_tables;1;db/campaign_map_route_nodes_tables/hkrul_mar					
ovn_dekuypers_network_marienburg	452	652		1	0
ovn_dekuypers_network_southern_sea_of_chaos	430	726		1	0
ovn_dekuypers_network_erengrad	639	770		1	0
ovn_dekuypers_network_gulf_of_kislev	594	784		1	0
ovn_dekuypers_network_sea_of_claws	517	771		1	0
ovn_dekuypers_network_the_albion_channel	359	710		1	0
ovn_dekuypers_network_the_estalia_coastline	373	417		1	0
ovn_dekuypers_network_bordeleaux	399	582		1	0
ovn_dekuypers_network_the_pirate_coast	492	365		1	0
ovn_dekuypers_network_the_black_gulf	573	417		1	0
ovn_dekuypers_network_barak_varr	675	514		1	0
ovn_dekuypers_network_miragliano	504	462		1	0
ovn_dekuypers_network_magritta	420	434		1	0
ovn_dekuypers_network_fortress_of_dawn	547	74		1	0
ovn_dekuypers_network_tower_of_the_sun	987	134		1	0
ovn_dekuypers_network_the_eastern_isles	964	154		1	0
ovn_dekuypers_network_gulf_of_medes	418	243		1	0
ovn_dekuypers_network_lashiek	454	313		1	0
ovn_dekuypers_network_dai_cheng	1366	384		1	0
ovn_dekuypers_network_fu_hung	1230	381		1	0
ovn_dekuypers_network_beichai	1356	557		1	0
ovn_dekuypers_network_haichai	1348	620		1	0
ovn_dekuypers_network_fu_chow	1353	509		1	0
ovn_dekuypers_network_straits_of_lothern	256	491		1	0
ovn_dekuypers_network_sudenburg	558	256		1	0
ovn_dekuypers_network_al_haikk	511	326		1	0
ovn_dekuypers_network_zandri	541	320		1	0
ovn_dekuypers_network_shark_straights	433	330		1	0
ovn_dekuypers_network_lothern	249	513		1	0
ovn_dekuypers_network_scorpion_coast	147	473		1	0
ovn_dekuypers_network_port_reaver	96	484		1	0
ovn_dekuypers_network_tilean_sea	470	401		1	0
ovn_dekuypers_network_sartosa	498	386		1	0
ovn_dekuypers_network_myrmidens	577	438		1	0
ovn_dekuypers_network_middle_sea	382	554		1	0
ovn_dekuypers_network_the_mistnar_crossing	352	618		1	0
ovn_dekuypers_network_shifting_isles	335	498		1	0
ovn_dekuypers_network_the_churning_gulf	556	93		1	0
ovn_dekuypers_network_eastern_sea_of_dread	1236	297		1	0
ovn_dekuypers_network_serpent_river	1348	419		1	0
ovn_dekuypers_network_the_jade_sea	1406	399		1	0
ovn_dekuypers_network_red_river	1373	494		1	0
ovn_dekuypers_network_northern_straits_of_the_jade_sea	1368	559		1	0
ovn_dekuypers_network_river_reik	486	645		1	0
ovn_dekuypers_network_altdorf	527	642		1	0
ovn_dekuypers_network_the_forbidding_coast	284	741		1	0
ovn_dekuypers_network_karond_kar	269	794		1	0
ovn_dekuypers_network_arnheim	141	588		1	0
ovn_dekuypers_network_straits_of_fear	134	540		1	0
ovn_dekuypers_network_the_bleak_coast	158	590		1	0
ovn_dekuypers_network_straights_of_chaos	362	785		1	0
ovn_dekuypers_network_northern_sea_of_chaos	477	888		1	0
ovn_dekuypers_network_kraken_sea	630	905		1	0
ovn_dekuypers_network_frozen_sea	757	842		1	0
ovn_dekuypers_network_sjoktraken	722	825		1	0
ovn_dekuypers_network_great_canal	1247	399		1	0
ovn_dekuypers_network_great_river	1263	444		1	0
ovn_dekuypers_network_serpent_coast_sea	615	48		1	0
ovn_dekuypers_network_sunken_lands	192	651		1	0
rhox_mar_mundvard_network_bay_of_blades	582	820		1	0
rhox_mar_mundvard_network_sorcerers_islands	416	313		1	0
rhox_mar_mundvard_network_troll_fjord	391	796		1	0
rhox_mar_mundvard_network_fortress_of_the_damned	368	874		1	0
ovn_dekuypers_network_river_reik_2	559	670		1	0
ovn_dekuypers_network_river_reik_3	596	696		1	0
ovn_dekuypers_network_bechafen	670	711		1	0
