bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/hkrul_mar_cav_art	
shielded	hkrul_mar_cav_rijders
vanguard_deployment	hkrul_mar_cav_rijders
very_fast	hkrul_mar_cav_rijders
vanguard_deployment	hkrul_mar_cav_rijders_crossbow
very_fast	hkrul_mar_cav_rijders_crossbow
anti_infantry	hkrul_mar_sons_of_manann
armoured_and_shielded	hkrul_mar_sons_of_manann
armour_piercing_ranged	hkrul_mar_culverin
anti_large	hkrul_mar_culverin
armour_piercing_ranged	hkrul_mar_art_paixhan_ror
anti_infantry	hkrul_mar_art_paixhan_ror
armour_piercing_ranged	hkrul_mar_hellblaster
aquatic	hkrul_mar_knights_griffon
armour_piercing	hkrul_mar_knights_griffon
armoured	hkrul_mar_knights_griffon
terror	hkrul_mar_knights_griffon
anti_infantry	hkrul_mar_hellstorm
armour_piercing_ranged	hkrul_mar_hellstorm
good_range	hkrul_mar_hellstorm
poor_accuracy	hkrul_mar_hellstorm
anti_infantry	hkrul_mar_mortar
anti_infantry	hkrul_mar_bordermen_ror
armour_piercing_ranged	hkrul_mar_bordermen_ror
cant_attack_air	hkrul_mar_bordermen_ror
vanguard_deployment	hkrul_mar_bordermen_ror
anti_large	hkrul_mar_naval_paixhan
armour_piercing_ranged	hkrul_mar_naval_paixhan
good_range	hkrul_mar_naval_paixhan
armoured_and_shielded	hkrul_mar_cleansing_flame
anti_large	hkrul_mar_cleansing_flame
hkrul_knights_fire	hkrul_mar_cleansing_flame
anti_large	hkrul_mar_art_scheepskanon
armour_piercing_ranged	hkrul_mar_art_scheepskanon
good_range	hkrul_mar_art_scheepskanon
