bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/hkrul_mar_monsters	
aquatic	ovn_mar_mon_augas_fish_summoned_1
aquatic	ovn_mar_mon_augas_fish_summoned_0
scaly_skin	ovn_mar_mon_augas_fish_summoned_1
scaly_skin	ovn_mar_mon_augas_fish_summoned_0
frostbite	urg_dae_inf_sphenisci_daemon
frostbite	urg_kho_inf_sphenisci_daemon
frostbite	urg_nur_inf_sphenisci_daemon
frostbite	urg_sla_inf_sphenisci_daemon
barrier	urg_tze_inf_sphenisci_daemon
frostbite	urg_tze_inf_sphenisci_daemon
anti_infantry	chaos_whale_cst_kou
terror	chaos_whale_cst_kou
frostbite	chaos_whale_cst_kou
