uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/hkrul_mar					
hkrul_uniform_jk	hkrul_jk	hkrul_jk	hkrul_jk		
hkrul_uniform_pg	hkrul_pg	hkrul_pg	hkrul_pg		
hkrul_hendrik	hkrul_mar_simon	hkrul_mar_simon	hkrul_mar_simon		
hkrul_solkan	hkrul_solkan	hkrul_solkan	hkrul_solkan		
hrul_mar_caravan_commander_06	hrul_mar_caravan_commander_06	hrul_mar_caravan_commander_06	hrul_mar_caravan_commander_06		
hrul_mar_caravan_commander_07	hrul_mar_caravan_commander_07	hrul_mar_caravan_commander_07	hrul_mar_caravan_commander_07		
hrul_mar_caravan_commander_08	hrul_mar_caravan_commander_08	hrul_mar_caravan_commander_08	hrul_mar_caravan_commander_08		
hrul_mar_caravan_commander_09	hrul_mar_caravan_commander_09	hrul_mar_caravan_commander_09	hrul_mar_caravan_commander_09		
hrul_mar_caravan_commander_10	hrul_mar_caravan_commander_10	hrul_mar_caravan_commander_10	hrul_mar_caravan_commander_10		
hkrul_crispijn	hkrul_crispijn	hkrul_crispijn	hkrul_crispijn		
hkrul_mar_egmond	hkrul_mar_egmond	hkrul_mar_egmond	hkrul_mar_egmond		
hkrul_mar_munvard	hkrul_mar_munvard	hkrul_mar_munvard	hkrul_mar_munvard		
hkrul_alicia	hkrul_alicia	hkrul_alicia	hkrul_alicia		
hkrul_guzunda	hkrul_guzunda	hkrul_guzunda	hkrul_guzunda		
hkrul_lisette	hkrul_lisette	hkrul_lisette	hkrul_lisette		
hkrul_cross	hkrul_cross	hkrul_cross	hkrul_cross		
hkrul_mar_campaign_map_ship	hkrul_mar_campaign_map_ship		campaign_emp_ship_heavy		
hkrul_mar_campaign_map_big_ship	hkrul_mar_campaign_map_big_ship		campaign_emp_ship_heavy		
hkrul_harb	hkrul_harb	hkrul_harb	hkrul_harb		
