child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/@cr_sea_wizard							
ovn_skill_node_mar_sea_wizard_magic_02	ovn_skill_node_mar_sea_wizard_magic_01	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_03	ovn_skill_node_mar_sea_wizard_magic_01	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_04	ovn_skill_node_mar_sea_wizard_magic_01	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_05	ovn_skill_node_mar_sea_wizard_magic_01	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_06	ovn_skill_node_mar_sea_wizard_magic_02	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_06	ovn_skill_node_mar_sea_wizard_magic_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_06	ovn_skill_node_mar_sea_wizard_magic_04	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_06	ovn_skill_node_mar_sea_wizard_magic_05	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_07	ovn_skill_node_mar_sea_wizard_magic_06	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_08	ovn_skill_node_mar_sea_wizard_magic_06	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_09	ovn_skill_node_mar_sea_wizard_magic_06	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_10	ovn_skill_node_mar_sea_wizard_magic_06	0	1	1	0.0000	0.0000	REQUIRED
ovn_skill_node_mar_sea_wizard_magic_11	ovn_skill_node_mar_sea_wizard_magic_07	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_11	ovn_skill_node_mar_sea_wizard_magic_08	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_11	ovn_skill_node_mar_sea_wizard_magic_09	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
ovn_skill_node_mar_sea_wizard_magic_11	ovn_skill_node_mar_sea_wizard_magic_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
