type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/hkrul_mar_caravan	
hkrul_mar_hilaria	ui/campaign ui/ancillaries/hkrul_mar_mundvard_follower.png
hkrul_mar_follower_bret	ui/campaign ui/ancillaries/hkrul_mar_bretton.png
hkrul_mar_follower_bard	ui/campaign ui/ancillaries/hkrul_mar_bard_follower.png
hkrul_mar_follower_norsca	ui/campaign ui/ancillaries/hkrul_mar_norscan_follower.png
hkrul_mar_follower_sun	ui/campaign ui/ancillaries/hkrul_mar_sun_follower.png
hkrul_mar_follower_elf	ui/campaign ui/ancillaries/hkrul_mar_elf_follower.png
hkrul_mar_follower_ship	ui/campaign ui/ancillaries/hkrul_mar_landship_follower.png
hkrul_mar_follower_cathay	ui/campaign ui/ancillaries/hkrul_mar_cathay_follower.png
hkrul_mar_follower_kislev	ui/campaign ui/ancillaries/hkrul_mar_nijmenk_champion.png
hkrul_mar_follower_roelef	ui/campaign ui/ancillaries/hkrul_mar_roelef_follower.png
ovn_anc_mount_altar_of_manann	ui/campaign ui/mounts/mount_war_altar_of_sigmar.png
