key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/hkrul_camille																																																						
hkrul_dauphine	10	wh2_main_plate_50	2100	inf_melee	15	com	hkrul_dauphine	hu1_mrg_manann_lector	wh_main_infantry_standard_hero_blood_dismembers	29	46	70	2875		0	hkrul_dauphine		1	none	hkrul_dauphine	wh_main_infantry	trained			true	40.0000	1500.0000	wh_dlc04_emp_cha_arch_lector_0	60	80	0	vo_sel_default	vo_sel_generic_short	vo_sel_generic_short	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_mage_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_dauphine_1	10	wh2_main_plate_80	2100	cavalry	30	com	hkrul_dauphine	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_hero_blood_dismembers	29	46	70	3476	hkrul_manann_barded_warhorse	1	hkrul_dauphine		1	none	hkrul_dauphine	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh_dlc04_emp_cha_arch_lector_2	60	80	0	vo_sel_default	vo_sel_generic_short	vo_sel_generic_short	1.0000	aquatic_large	0	0	0	0	0	0	15	0	melee_mage_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_dauphine_2	10	wh2_main_plate_80	2100	war_beast	35	com	hkrul_dauphine	hu1_empire_bc2_griffon_wb_sword_shield	wh_main_infantry_standard_hero_blood_dismembers	47	30	70	4865	hkrul_manann_griffon	1	wh_main_emp_imperial_griffon		1	none	hkrul_dauphine	wh_main_monster	trained			true	40.0000	1500.0000	wh_main_emp_cha_general_3	60	80	0	vo_sel_default	vo_sel_generic_short	vo_sel_generic_short	1.0000	aquatic_large	0	0	0	0	0	0	15	0	flying_melee_shock_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_dauphine_3	10	wh2_main_plate_100	2100	war_machine	50	com	hkrul_dauphine	hu1_mrg_manann_lector	wh_main_infantry_standard_hero_blood	27	55	75	5155	ovn_mar_warhorse_armoured_war_altar_of_manann	2	ovn_mar_war_altar_of_manann		1	none	hkrul_dauphine	wh_main_chariot	trained	wh_main_emp_luminark_war_altar	ovn_mar_veh_war_altar_of_manann	true	40.0000	1500.0000	hkrul_lector_mount	60	80	0	vo_sel_default	vo_sel_generic_short	vo_sel_generic_short	1.0000	aquatic_large	0	0	0	0	1	0	15	0	melee_mage_highvalue	false	true	false	false	high	high	domination_characters		
ovn_mar_mon_augas_fish_summoned_0	10	wh_main_body_0	2100	inf_melee	20	inf_mel	ovn_unit_short_text_mar_augas_fish_0	fh1_fish	ovn_mar_mon_augus_fish	22	41	40	65		0	wh_main_vmp_fell_bats		7	none	ovn_unit_short_text_mar_augas_fish_0	wh_main_fellbats	trained			true	40.0000	1500.0000	ovn_mar_mon_augas_fish_summoned_0_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	medium	medium	domination_infantry		
ovn_mar_mon_augas_fish_summoned_1	10	wh2_main_bone_20	2100	inf_melee	20	inf_mel	ovn_unit_short_text_mar_augas_fish_0	fh1_fish	ovn_mar_mon_augus_fish_giant	38	55	65	2325		0	hkrul_dauphine_fish		1	none	ovn_unit_short_text_mar_augas_fish_0	wh_main_monster	trained			true	40.0000	1500.0000	ovn_mar_mon_augas_fish_summoned_0_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_large	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	high	high	domination_infantry		
ovn_mar_cha_wizard_sea_0	10	wh2_main_leather_20	2100	inf_ranged	15	com	ovn_unit_long_text_mar_sea_wizard	hu1_empire_staff_and_sword	wh_main_infantry_standard_wizard_blood_dismembers	25	30	55	3412		0	wh_main_emp_sword_caster		1	none	ovn_unit_short_text_mar_sea_wizard	wh_main_infantry	trained			true	40.0000	1500.0000	ovn_mar_cha_wizard_sea_0_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_small	0	0	0	0	0	0	15	0	mage	false	true	false	false	high	high	domination_characters		
ovn_mar_cha_wizard_sea_1	10	wh2_main_leather_20	2100	cavalry	30	com	ovn_unit_long_text_mar_sea_wizard	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	3832	wh_main_emp_mnt_warhorse_360	1	wh_main_emp_sword_caster		1	none	ovn_unit_short_text_mar_sea_wizard	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	ovn_mar_cha_wizard_sea_1_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_large	0	0	0	0	0	0	15	0	mage	false	false	false	false	high	high	domination_characters		
ovn_mar_cha_wizard_sea_2	10	wh2_main_plate_50	2100	cavalry	30	com	ovn_unit_long_text_mar_sea_wizard	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	3832	wh_main_emp_mnt_warhorse_barded_hero	1	wh_main_emp_sword_caster		1	none	ovn_unit_short_text_mar_sea_wizard	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	ovn_mar_cha_wizard_sea_2_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_large	0	0	0	0	0	0	15	0	mage	false	false	false	false	high	high	domination_characters		
hkrul_manann_flagellant	10	wh_main_body_0	2100	inf_melee	24	inf_mel	wh_dlc04_unit_long_text_emp_flagellants	hu1_empire_dual_hammer	wh_dlc04_infantry_flagellants_blood_dismembers	32	12	100	65		0	wh_dlc04_emp_mace		6	none	wh_dlc04_unit_short_text_emp_flagellants	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	hkrul_manann_flagellant	60	80	0	vo_sel_empire_flagellents	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
chaos_whale_cst_kou	10	wh2_main_body_140	2100	war_beast	55	spcl	hkrul_chaos_whale	chaos_whale	chaos_whale_kou	78	80	125	37724		0	hkrul_whale_bite		1	none	hkrul_chaos_whale	wh_main_monster	trained			true	40.0000	1500.0000	wh3_main_kho_mon_bloodthirster_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture		
ovn_mar_mon_augas_fish_0	10	wh_main_body_0	2100	inf_melee	20	inf_mel	ovn_unit_short_text_mar_augas_fish_0	fh1_fish	ovn_mar_mon_augus_fish	22	41	40	65		0	wh_main_vmp_fell_bats		7	none	ovn_unit_short_text_mar_augas_fish_0	wh_main_fellbats	trained			true	40.0000	1500.0000	ovn_mar_mon_augas_fish_summoned_0_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	medium	medium	domination_infantry		
ovn_mar_mon_augas_fish_1	10	wh2_main_bone_20	2100	inf_melee	20	inf_mel	ovn_unit_short_text_mar_augas_fish_0	fh1_fish	ovn_mar_mon_augus_fish_giant	38	55	65	2325		0	hkrul_dauphine_fish		1	none	ovn_unit_short_text_mar_augas_fish_0	wh_main_monster	trained			true	40.0000	1500.0000	ovn_mar_mon_augas_fish_summoned_0_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_large	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	high	high	domination_infantry		
hkrul_arbatt	10	wh2_main_plate_95	2100	inf_melee	40	com	hkrul_arbatt	hu1_empire_halberd	wh_main_infantry_standard_hero_blood_dismembers	59	41	70	3875		0	wh2_dlc11_cst_count_noctilus_halberd		1	none	hkrul_arbatt	wh_main_infantry	trained			true	40.0000	1500.0000	hkrul_arbatt_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
