key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/hkrul_mar		
hkrul_mar_enable_lantern	hkrul_mar_lantern	hkrul_mar_black_caps
hkrul_mar_enable_fooger_backing	hkrul_mar_fooger_backing	dwarf_all_units_exclude_slayers
hkrul_mar_enable_egmond_brew	hkrul_mar_egmond_brew	wh3_dlc20_chs_tzeentch_marked_units
hkrul_enable_norsca_raiders	hkrul_norsca_raiders	nor_all
hkrul_enable_mask_cathay	hkrul_cathay_mask	cth_all
hkrul_enable_kislev_buff	hkrul_kislev_buff	ksl_all
hkrul_enable_bret_buff	hkrul_bret_buff	brt_all
hkrul_enable_landship_buff	hkrul_landship_buff	wh3_dlc25_emp_land_ship
hkrul_enable_elf_buff	hkrul_elf_buff	hef_all
hkrul_enable_elf_buff1	hkrul_elf_buff	hkrul_mar_noble
rhox_mar_harmony_yang_passive_to_unit	wh3_main_unit_passive_battle_harmony_yang	rhox_mar_melee
rhox_mar_harmony_yin_passive_to_unit	wh3_main_unit_passive_battle_harmony_yin	rhox_mar_ranged
hkrul_mar_enable_kuypers_ring	hkrul_kuypers_ring	hkrul_mar_caravan_lord_unit_set
rhox_mar_landship_repair	wh_ability_hkrul_landship_shipbuilders_repair	wh3_dlc25_emp_land_ship
