child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/rhox_mar							
wh2_dlc13_tech_mar_academia_2	wh2_dlc13_tech_mar_academia_1_a	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_2_b	wh2_dlc13_tech_mar_academia_1_b	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_1_a	wh2_dlc13_tech_mar_academia_1	0	1	3	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_1_b	wh2_dlc13_tech_mar_academia_1	0	3	1	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_3	wh2_dlc13_tech_mar_academia_2_a	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_3_b	wh2_dlc13_tech_mar_academia_2_b	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_2_a	wh2_dlc13_tech_mar_academia_2	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_academia_3_a	wh2_dlc13_tech_mar_academia_3_b	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_cav_1_a	wh2_dlc13_tech_mar_cav_1	0	3	1	0.0000	0.0000	true
wh2_dlc13_tech_mar_cav_1_b	wh2_dlc13_tech_mar_cav_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_cav_1_c	wh2_dlc13_tech_mar_cav_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_3_a	wh2_dlc13_tech_mar_economy_1_b	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_1_a	wh2_dlc13_tech_mar_economy_1	0	1	3	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_2	wh2_dlc13_tech_mar_economy_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_2_b	wh2_dlc13_tech_mar_economy_1	0	3	1	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_1_b	wh2_dlc13_tech_mar_economy_2_a	0	3	1	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_3_b	wh2_dlc13_tech_mar_economy_2_a	0	1	3	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_2_a	wh2_dlc13_tech_mar_economy_2	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_economy_3	wh2_dlc13_tech_mar_economy_3_b	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_infantry_1_a	wh2_dlc13_tech_mar_infantry_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_infantry_1_b	wh2_dlc13_tech_mar_infantry_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_infantry_1_c	wh2_dlc13_tech_mar_infantry_1	0	3	1	0.0000	0.0000	true
wh2_dlc13_tech_mar_machine_1_a	wh2_dlc13_tech_mar_machine_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_machine_1_b	wh2_dlc13_tech_mar_machine_1	0	3	1	0.0000	0.0000	true
wh2_dlc13_tech_mar_machine_1_c	wh2_dlc13_tech_mar_machine_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_missile_1_a	wh2_dlc13_tech_mar_missile_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_missile_1_b	wh2_dlc13_tech_mar_missile_1	0	2	4	0.0000	0.0000	true
wh2_dlc13_tech_mar_missile_1_c	wh2_dlc13_tech_mar_missile_1	0	3	1	0.0000	0.0000	true
