child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/rhox_mar_egmond							
tech_ovn_mar_elf_town_1	tech_ovn_mar_the_flats	0	2	4	0.0000	0.0000	true
tech_ovn_mar_arabtown	tech_ovn_mar_elf_town_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_elf_town_2	tech_ovn_mar_elf_town_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_treasurehoem	tech_ovn_mar_arabtown	0	3	1	0.0000	0.0000	true
tech_ovn_mar_guilderfield	tech_ovn_mar_treasurehoem	0	3	1	0.0000	0.0000	true
tech_ovn_mar_palace_district	tech_ovn_mar_guilderfield	0	2	4	0.0000	0.0000	true
tech_ovn_mar_north_wall_1	tech_ovn_mar_arabtown	0	1	3	0.0000	0.0000	true
tech_ovn_mar_north_wall_2	tech_ovn_mar_north_wall_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_dealers_market_1	tech_ovn_mar_north_wall_2	0	3	1	0.0000	0.0000	true
tech_ovn_mar_knife_alley	tech_ovn_mar_north_wall_2	0	2	4	0.0000	0.0000	true
tech_ovn_mar_east_wall_1	tech_ovn_mar_knife_alley	0	2	1	0.0000	0.0000	true
tech_ovn_mar_east_wall_2	tech_ovn_mar_east_wall_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_rijks_gate_1	tech_ovn_mar_east_wall_1	0	2	1	0.0000	0.0000	true
tech_ovn_mar_rijks_gate_2	tech_ovn_mar_rijks_gate_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_rijks_gate_3	tech_ovn_mar_rijks_gate_2	0	3	1	0.0000	0.0000	true
tech_ovn_mar_nippon_town	tech_ovn_mar_dealers_market_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_dealers_market_2	tech_ovn_mar_dealers_market_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_silk_market	tech_ovn_mar_nippon_town	0	2	4	0.0000	0.0000	true
tech_ovn_mar_gold_mound	tech_ovn_mar_silk_market	0	3	1	0.0000	0.0000	true
tech_ovn_mar_indic_district	tech_ovn_mar_gold_mound	0	2	4	0.0000	0.0000	true
tech_ovn_mar_luigis_town	tech_ovn_mar_indic_district	0	3	1	0.0000	0.0000	true
tech_ovn_mar_kislevan_way	tech_ovn_mar_luigis_town	0	3	1	0.0000	0.0000	true
tech_ovn_mar_hightower_isle	tech_ovn_mar_palace_district	0	3	1	0.0000	0.0000	true
tech_ovn_mar_hightower_isle	tech_ovn_mar_luydenhoek_isle	0	1	3	0.0000	0.0000	true
tech_ovn_mar_luydenhoek_isle	tech_ovn_mar_stoessel_isle	0	2	4	0.0000	0.0000	true
tech_ovn_mar_stoessel_isle	tech_ovn_mar_riddra_isle	0	2	4	0.0000	0.0000	true
tech_ovn_mar_temple_district_2	tech_ovn_mar_temple_district_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_old_money_ward_1	tech_ovn_mar_temple_district_1	0	2	1	0.0000	0.0000	true
tech_ovn_mar_mananns_haven	tech_ovn_mar_temple_district_2	0	3	1	0.0000	0.0000	true
tech_ovn_mar_old_money_ward_2	tech_ovn_mar_old_money_ward_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_norscan_town	tech_ovn_mar_old_money_ward_2	0	2	4	0.0000	0.0000	true
tech_ovn_mar_old_money_ward_3	tech_ovn_mar_old_money_ward_2	0	3	1	0.0000	0.0000	true
tech_ovn_mar_south_dock_1	tech_ovn_mar_norscan_town	0	2	4	0.0000	0.0000	true
tech_ovn_mar_south_dock_2	tech_ovn_mar_south_dock_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_luydenhoek_isle	tech_ovn_mar_south_dock_2	0	1	3	0.0000	0.0000	true
tech_ovn_mar_dwarfs_hold	tech_ovn_mar_south_dock_2	0	2	4	0.0000	0.0000	true
tech_ovn_mar_craftsmarket_3	tech_ovn_mar_south_dock_2	0	3	1	0.0000	0.0000	true
tech_ovn_mar_remas_way	tech_ovn_mar_porters_wall_1	0	1	3	0.0000	0.0000	true
tech_ovn_mar_porters_wall_2	tech_ovn_mar_porters_wall_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_north_miragliano	tech_ovn_mar_porters_wall_2	0	1	3	0.0000	0.0000	true
tech_ovn_mar_craftsmarket_1	tech_ovn_mar_old_money_ward_3	0	2	4	0.0000	0.0000	true
tech_ovn_mar_dead_canal_1	tech_ovn_mar_craftsmarket_1	0	3	1	0.0000	0.0000	true
tech_ovn_mar_dead_canal_2	tech_ovn_mar_dead_canal_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_dead_canal_3	tech_ovn_mar_dead_canal_2	0	2	4	0.0000	0.0000	true
tech_ovn_mar_craftsmarket_2	tech_ovn_mar_craftsmarket_1	0	2	4	0.0000	0.0000	true
tech_ovn_mar_little_moot	tech_ovn_mar_craftsmarket_3	0	2	4	0.0000	0.0000	true
tech_ovn_mar_wine_sack	tech_ovn_mar_little_moot	0	2	4	0.0000	0.0000	true
tech_ovn_mar_porters_wall_1	tech_ovn_mar_wine_sack	0	1	3	0.0000	0.0000	true
tech_ovn_mar_deedesveld	tech_ovn_mar_wine_sack	0	2	4	0.0000	0.0000	true
tech_ovn_mar_heiligdom	tech_ovn_mar_deedesveld	0	3	1	0.0000	0.0000	true
