key	building_level	position_index	icon_name	mp_available_early	mp_available_late	info_pic	unique_index	is_civil	is_engineering	is_military	is_hidden
#technologies_tables;7;db/technologies_tables/rhox_mar											
tech_ovn_mar_rijkers_isle	wh_main_chs_port_ruin	1	tech_dlc07_brt_heraldry_errantry	false	false	"placeholder.tga"	634512300	true	false	false	false
tech_ovn_mar_temple_district	wh_main_chs_port_ruin	1	tech_dlc07_brt_economy_other_1	false	false	"placeholder.tga"	634512301	true	false	false	false
tech_ovn_mar_temple_district_2	wh_main_chs_port_ruin	1	wh2_hef_tech_naval_empire	false	false	"placeholder.tga"	634512302	true	false	false	false
tech_ovn_mar_mananns_haven	wh_main_chs_port_ruin	1	wh_main_emp_divine_sanction	false	false	"placeholder.tga"	634512303	true	false	false	false
tech_ovn_mar_the_flats	wh_main_chs_port_ruin	1	wh2_hef_tech_salt_preserved_seafood	false	false	"placeholder.tga"	634512304	true	false	false	false
tech_ovn_mar_old_money_ward_1	wh_main_chs_port_ruin	1	tech_dlc07_brt_economy_other_fletchers	false	false	"placeholder.tga"	634512305	true	false	false	false
tech_ovn_mar_old_money_ward_2	wh_main_chs_port_ruin	1	tech_dlc07_brt_heraldry_oversea	false	false	"placeholder.tga"	634512306	true	false	false	false
tech_ovn_mar_old_money_ward_3	wh_main_chs_port_ruin	1	tech_dlc13_emp_diplomacy_1_a	false	false	"placeholder.tga"	634512307	true	false	false	false
tech_ovn_mar_elf_town_1	wh_main_chs_port_ruin	1	wh2_hef_tech_appoint_sea_masters	false	false	"placeholder.tga"	634512308	true	false	false	false
tech_ovn_mar_elf_town_2	wh_main_chs_port_ruin	1	tech_dlc13_emp_diplomacy_1_b	false	false	"placeholder.tga"	634512309	true	false	false	false
tech_ovn_mar_riddra_isle	wh_main_chs_port_ruin	1	wh_main_vmp_spread_vampire_covens	false	false	"placeholder.tga"	634512310	true	false	false	false
tech_ovn_mar_norscan_town	wh_main_chs_port_ruin	1	tech_dlc08_nor_axemakers_stone	false	false	"placeholder.tga"	634512311	true	false	false	false
tech_ovn_mar_craftsmarket_1	wh_main_chs_port_ruin	1	wh_main_dwf_masterwork_crossbows	false	false	"placeholder.tga"	634512312	true	false	false	false
tech_ovn_mar_dead_canal_1	wh_main_chs_port_ruin	1	wh_main_emp_draft_irregulars	false	false	"placeholder.tga"	634512313	true	false	false	false
tech_ovn_mar_north_wall_1	wh_main_chs_port_ruin	1	wh2_hef_tech_porcelain_kilns	false	false	"placeholder.tga"	634512314	true	false	false	false
tech_ovn_mar_arabtown	wh_main_chs_port_ruin	1	wh2_hef_tech_spices_trade_contract_with_the_east	false	false	"placeholder.tga"	634512315	true	false	false	false
tech_ovn_mar_treasurehoem	wh_main_chs_port_ruin	1	wh2_dlc13_emp_ordnance_canisters	false	false	"placeholder.tga"	634512316	true	false	false	false
tech_ovn_mar_guilderfield	wh_main_chs_port_ruin	1	tech_dlc07_brt_economy_start	false	false	"placeholder.tga"	634512317	true	false	false	false
