id	rank	unit	unit_list_display
#unit_list_display_to_unit_junctions_tables;0;db/unit_list_display_to_unit_junctions_tables/hkrul_mar			
353452111	0	hkrul_mar_inf_boogschutter	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452112	0	hkrul_mar_inf_boogschutter	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452113	0	hkrul_mar_inf_swords	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452114	0	hkrul_mar_inf_swords	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452115	0	hkrul_mar_inf_halberd	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452116	0	hkrul_mar_inf_halberd	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452117	0	hkrul_mar_art_scheepskanon	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452118	0	hkrul_mar_art_scheepskanon	hkrul_skill_innate_mar_caravan_master_former-artillery-officer
353452119	0	hkrul_mar_inf_boogschutter	hkrul_skill_innate_mar_caravan_master_norscan_heritage
353452120	0	hkrul_mar_inf_boogschutter	hkrul_skill_innate_mar_caravan_master_norscan_heritage
353452121	0	wh_dlc08_nor_mon_war_mammoth_0	hkrul_skill_innate_mar_caravan_master_norscan_heritage
353452122	0	wh_dlc08_nor_inf_marauder_hunters_1	hkrul_skill_innate_mar_caravan_master_norscan_heritage
353452123	0	wh_main_nor_inf_chaos_marauders_1	hkrul_skill_innate_mar_caravan_master_norscan_heritage
353452124	0	wh_main_nor_inf_chaos_marauders_1	hkrul_skill_innate_mar_caravan_master_norscan_heritage
353452131	0	hkrul_mar_inf_boogschutter	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452132	0	hkrul_mar_inf_boogschutter	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452133	0	hkrul_burgher	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452134	0	hkrul_burgher	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452135	0	hkrul_mar_inf_halberd	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452136	0	hkrul_mar_inf_halberd	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452137	0	hkrul_mar_knights_griffon	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
353452138	0	hkrul_mar_knights_griffon	hkrul_skill_innate_mar_caravan_master_griffon-whisperer
