id	names_group	type	gender	frequency
#names_tables;0;db/names_tables/hkrul_mar_forename				
2022190500	hkrul_names_emp_marienburg	forename	m	1
2022190501	hkrul_names_emp_marienburg	forename	m	1
2022190502	hkrul_names_emp_marienburg	forename	m	1
2022190503	hkrul_names_emp_marienburg	forename	m	1
2022190504	hkrul_names_emp_marienburg	forename	m	1
2022190505	hkrul_names_emp_marienburg	forename	m	1
2022190506	hkrul_names_emp_marienburg	forename	m	1
2022190507	hkrul_names_emp_marienburg	forename	m	1
2022190508	hkrul_names_emp_marienburg	forename	m	1
2022190509	hkrul_names_emp_marienburg	forename	m	1
2022190510	hkrul_names_emp_marienburg	forename	m	1
2022190511	hkrul_names_emp_marienburg	forename	m	1
2022190512	hkrul_names_emp_marienburg	forename	m	1
2022190513	hkrul_names_emp_marienburg	forename	m	1
2022190514	hkrul_names_emp_marienburg	forename	m	1
2022190515	hkrul_names_emp_marienburg	forename	m	1
2022190516	hkrul_names_emp_marienburg	forename	m	1
2022190517	hkrul_names_emp_marienburg	forename	m	1
2022190518	hkrul_names_emp_marienburg	forename	m	1
2022190519	hkrul_names_emp_marienburg	forename	m	1
2022190520	hkrul_names_emp_marienburg	forename	m	1
2022190521	hkrul_names_emp_marienburg	forename	m	1
2022190522	hkrul_names_emp_marienburg	forename	m	1
2022190523	hkrul_names_emp_marienburg	forename	m	1
2022190524	hkrul_names_emp_marienburg	forename	m	1
2022190525	hkrul_names_emp_marienburg	forename	m	1
2022190526	hkrul_names_emp_marienburg	forename	m	1
2022190527	hkrul_names_emp_marienburg	forename	m	1
2022190528	hkrul_names_emp_marienburg	forename	m	1
2022190529	hkrul_names_emp_marienburg	forename	m	1
2022190530	hkrul_names_emp_marienburg	forename	m	1
2022190531	hkrul_names_emp_marienburg	forename	m	1
2022190532	hkrul_names_emp_marienburg	forename	m	1
2022190533	hkrul_names_emp_marienburg	forename	m	1
2022190534	hkrul_names_emp_marienburg	forename	m	1
2022190535	hkrul_names_emp_marienburg	forename	m	1
2022190536	hkrul_names_emp_marienburg	forename	m	1
2022190537	hkrul_names_emp_marienburg	forename	m	1
2022190538	hkrul_names_emp_marienburg	forename	m	1
2022190539	hkrul_names_emp_marienburg	forename	m	1
2022190540	hkrul_names_emp_marienburg	forename	m	1
2022190541	hkrul_names_emp_marienburg	forename	m	1
2022190542	hkrul_names_emp_marienburg	forename	m	1
2022190543	hkrul_names_emp_marienburg	forename	m	1
2022190544	hkrul_names_emp_marienburg	forename	m	1
2022190545	hkrul_names_emp_marienburg	forename	m	1
2022190546	hkrul_names_emp_marienburg	forename	m	1
2022190547	hkrul_names_emp_marienburg	forename	m	1
2022190548	hkrul_names_emp_marienburg	forename	m	1
2022190549	hkrul_names_emp_marienburg	forename	m	1
2022190550	hkrul_names_emp_marienburg	forename	m	1
2022190551	hkrul_names_emp_marienburg	forename	m	1
2022190552	hkrul_names_emp_marienburg	forename	m	1
2022190553	hkrul_names_emp_marienburg	forename	m	1
2022190554	hkrul_names_emp_marienburg	forename	m	1
2022190555	hkrul_names_emp_marienburg	forename	m	1
2022190556	hkrul_names_emp_marienburg	forename	m	1
