granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/hkrul_mar		
hkrul_jk_mount_barded_warhorse	hkrul_jk_mount_barded_warhorse	1
hkrul_pg_mount_barded_warhorse	hkrul_pg_mount_barded_warhorse	1
hkrul_hendrik_mount_barded_warhorse	hkrul_hendrik_mount_barded_warhorse	1
hkrul_mar_coin	hkrul_mar_coin	1
hkrul_mar_anc_bodyguard	hkrul_jaan_special_4_9	1
hkrul_mar_anc_araby	hkrul_mar_anc_araby	1
hkrul_mar_anc_stadsraad	hkrul_jk_special_1_2	1
hkrul_solkan_horse	hkrul_solkan_horse	1
hkrul_hendrik_pegasus	hkrul_hendrik_pegasus	1
hkrul_mar_egmond_mount_horse	hkrul_mar_egmond_horse	1
hkrul_egmond_longma	hkrul_egmond_longma	1
hkrul_mar_mundvard_beast	hkrul_mar_mundvard_beast	1
hkrul_caravan_lord_horse	hkrul_caravan_lord_horse	1
hkrul_mar_egmond_nippon	hkrul_mar_egmond_nippon	1
hkrul_mundvard_artifact_wsoran	hkrul_mundvard_artifact_wsoran	1
hkrul_mundvard_sword_wsoran	hkrul_mundvard_sword_wsoran	1
hkrul_mar_hilaria	hkrul_mar_hilaria	1
hkrul_alicia_ring	hkrul_alicia_ring	1
hkrul_alicia_rose	hkrul_alicia_rose	1
hkrul_mar_lea	hkrul_mar_lea	1
hkrul_mar_gruber	hkrul_mar_gruber	1
hkrul_mar_stevedore	hkrul_mar_stevedore	1
hkrul_mar_casanova	hkrul_mar_casanova	1
hkrul_mar_casino	hkrul_mar_casino	1
hkrul_mar_mace	hkrul_mar_mace	1
hkrul_mar_barrel	hkrul_mar_barrel	1
