granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/hkrul_camille		
hkrul_dauphine_banner	hkrul_dauphine_banner	1
hkrul_dauphine_Cultist	hkrul_dauphine_Cultist	1
hkrul_dauphine_sword	hkrul_dauphine_sword	1
hkrul_dauphine_mount	hkrul_dauphine_mount	1
hkrul_dauphine_mount_2	hkrul_dauphine_mount_2	1
hkrul_dauphine_mount_3	hkrul_dauphine_mount_3	1
ovn_anc_mount_mar_sea_wizard_warhorse	ovn_skill_mar_wizard_unique_sea_wizard_warhorse	1
ovn_anc_mount_mar_sea_wizard_barded_warhorse	ovn_skill_mar_wizard_unique_sea_wizard_barded_warhorse	1
hkrul_arbatt_trident	hkrul_arbatt_trident	1
hkrul_arbatt_horse	hkrul_arbatt_horse	1
hkrul_arbatt_pegasus	hkrul_arbatt_pegasus	1
