key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/rhox_mar										
rhox_mar_dilemma_cth_caravan_1A	false		Caravan Encounter! The Shortcut	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_1B	false		Caravan Encounter! A Quicker Way	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_2A	false		Caravan Encounter! Scavengers	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_2B	false		Caravan Encounter! Found Cargo	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_3A	false		Caravan Encounter! The Stranger	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_3B	false		Caravan Encounter! Inn-counter	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_4A	false		Caravan Encounter! Lost Patrol	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_4B	false		Caravan Encounter! Warriors Return	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_5	false		Caravan Encounter! A Gift from Ind	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_battle_1A	false		Caravan Encounter! The Toll	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_battle_1B	false		Caravan Encounter! Barrier	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_battle_2A	false		Caravan Encounter! Ambushers	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
rhox_mar_dilemma_cth_caravan_battle_2B	false		Caravan Encounter! Ambush Ahead	cst/legendary_pirate_attacks	false	Event			event_convoy_neutral.png	false
