id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/rhox_mar				
1506322300	rhox_mar_conquer_empire	VAR_OBJECTIVE_BUILDING_LEVEL	wh_main_special_settlement_altdorf_4_emp	default
1506322301	rhox_mar_conquer_empire	VAR_CHANCE	100	default
1506322302	rhox_mar_conquer_empire	GEN_TARGET_NONE		default
1506322303	rhox_mar_conquer_empire	VAR_MISSION_LENGTH_INFINITE		default
1506322304	rhox_mar_conquer_marien	VAR_OBJECTIVE_BUILDING_LEVEL	wh_main_special_marienburg_port_3	default
1506322305	rhox_mar_conquer_marien	VAR_CHANCE	100	default
1506322306	rhox_mar_conquer_marien	GEN_TARGET_NONE		default
1506322307	rhox_mar_conquer_marien	VAR_MISSION_LENGTH_INFINITE		default
1506322308	rhox_mar_cousin_alliance	VAR_CHANCE	100	default
1506322309	rhox_mar_cousin_alliance	GEN_CND_FACTION	wh_main_vmp_schwartzhafen	default
1506322310	rhox_mar_cousin_alliance	GEN_TARGET_FACTION		default
1506322311	rhox_mar_cousin_alliance	VAR_MISSION_LENGTH_INFINITE		default
1506322312	rhox_egmond_aekold_helbrass_stage_1	VAR_FOLLOWUP_CHANCE	100	default
1506322313	rhox_egmond_aekold_helbrass_stage_1	GEN_TARGET_NONE		default
1506322314	rhox_egmond_aekold_helbrass_stage_1	VAR_OBJECTIVE_BUILDING_LEVEL	wh_main_emp_stables_1	default
1506322315	rhox_egmond_aekold_helbrass_stage_1	VAR_MISSION_LENGTH_INFINITE		default
1506322316	rhox_egmond_aekold_helbrass_stage_1	VAR_CHANCE	100	default
