choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;3;db/cdir_events_dilemma_choice_details_tables/rhox_dauphine		
FIRST	rhox_dauphine_blue_pirate_0	
FIRST	rhox_dauphine_blue_pirate_1	
FIRST	rhox_dauphine_blue_pirate_2	
FIRST	rhox_dauphine_blue_pirate_3	
FIRST	rhox_dauphine_blue_pirate_4	
FIRST	rhox_dauphine_blue_pirate_5	
FIRST	rhox_dauphine_blue_pirate_6	
SECOND	rhox_dauphine_blue_pirate_0	
SECOND	rhox_dauphine_blue_pirate_1	
SECOND	rhox_dauphine_blue_pirate_2	
SECOND	rhox_dauphine_blue_pirate_3	
SECOND	rhox_dauphine_blue_pirate_4	
SECOND	rhox_dauphine_blue_pirate_5	
SECOND	rhox_dauphine_blue_pirate_6	
FIRST	rhox_dauphine_blue_pirate_7	
SECOND	rhox_dauphine_blue_pirate_7	
