faction	vehicle
#battle_siege_vehicle_permissions_tables;0;db/battle_siege_vehicle_permissions_tables/rhox_mar	
rhox_rogue_spirits_of_stromfel	cst_battering_ram
rhox_rogue_spirits_of_stromfel	cst_siege_tower_15m
ovn_mar_house_den_euwe	emp_battering_ram
ovn_mar_house_den_euwe	emp_siege_tower_15m
ovn_mar_cult_of_manann	emp_battering_ram
ovn_mar_cult_of_manann	emp_siege_tower_15m
ovn_mar_house_fooger	emp_battering_ram
ovn_mar_house_fooger	emp_siege_tower_15m
ovn_mar_the_wasteland	vmp_battering_ram
ovn_mar_the_wasteland	vmp_siege_tower_15m
