invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/hkrul_mar	
climbing	hkrul_solkan_greatsword
climbing	hkrul_solkan_ring2
manning_equipment	hkrul_solkan_ring2
on_a_platform	hkrul_solkan_ring2
climbing	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded
manning_equipment	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded
climbing	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
manning_equipment	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
climbing	hkrul_elf_shot
