invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/hkrul_camille	
climbing	ovn_spell_sea_fishermans_eye
climbing	ovn_spell_sea_fishermans_eye_mage
climbing	ovn_spell_sea_drowned_mans_face
climbing	ovn_spell_sea_drowned_mans_face_upgraded
climbing	ovn_spell_sea_wave_of_destruction
climbing	ovn_spell_sea_wave_of_destruction_upgraded
climbing	ovn_spell_sea_animate_water
climbing	ovn_spell_sea_animate_water_upgraded
climbing	ovn_spell_sea_fountain_of_life
climbing	ovn_spell_sea_fountain_of_life_upgraded
climbing	ovn_spell_sea_water_blast
climbing	ovn_spell_sea_water_blast_mage_upgraded
climbing	ovn_spell_sea_water_blast_bound
