key	icon
#ancillary_sets_tables;0;db/ancillary_sets_tables/hkrul_mar	
hkrul_mar_jk_set	ui/skins/default/icon_item_set.png
hkrul_mar_norsca	ui/skins/default/icon_item_set.png
hkrul_mar_seafarer	ui/skins/default/icon_item_set.png
hkrul_mar_maacht	ui/skins/default/icon_item_set.png
hkrul_mar_lovers	ui/skins/default/icon_item_set.png
hkrul_mar_guilds	ui/skins/default/icon_item_set.png
hkrul_mar_criminal	ui/skins/default/icon_item_set.png
hkrul_mar_elf	ui/skins/default/icon_item_set.png
hkrul_mar_anc_set_cathay 	ui/skins/default/icon_item_set.png
