key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/hkrul_guzunda										
skill_node_hkrul_guzunda_self_0		wh_main_skill_all_all_self_blade_master_starter	skill_node_set_hkrul_guzunda		2.0000	0.0000		0	0	true
skill_node_hkrul_guzunda_self_1_1		wh_main_skill_all_all_self_devastating_charge	skill_node_set_hkrul_guzunda		2.0000	1.0000		0	0	true
skill_node_hkrul_guzunda_self_1_2		wh_main_skill_all_lord_self_full_plate_armour_2	skill_node_set_hkrul_guzunda		2.0000	2.0000		0	0	true
skill_node_hkrul_guzunda_self_1_3		wh_main_skill_all_all_self_hard_to_hit	skill_node_set_hkrul_guzunda		2.0000	3.0000		0	0	true
skill_node_hkrul_guzunda_self_1_4		wh_main_skill_all_all_self_deadly_blade	skill_node_set_hkrul_guzunda		2.0000	4.0000		0	0	true
skill_node_hkrul_guzunda_self_2		wh_main_skill_all_all_self_foe-seeker	skill_node_set_hkrul_guzunda		2.0000	5.0000		0	4	true
skill_node_hkrul_guzunda_self_3_1		wh_main_skill_all_all_self_wound-maker	skill_node_set_hkrul_guzunda		2.0000	6.0000		0	0	true
skill_node_hkrul_guzunda_self_3_2		wh_main_skill_all_all_self_scarred_veteran_2	skill_node_set_hkrul_guzunda		2.0000	7.0000		0	0	true
skill_node_hkrul_guzunda_self_3_3		wh_main_skill_all_all_self_indomitable	skill_node_set_hkrul_guzunda		2.0000	8.0000		0	0	true
skill_node_hkrul_guzunda_self_3_4		wh_main_skill_all_all_self_blade_shield	skill_node_set_hkrul_guzunda		2.0000	9.0000		0	0	true
skill_node_hkrul_guzunda_self_4		wh_main_skill_all_all_self_deadly_onslaught	skill_node_set_hkrul_guzunda		2.0000	10.0000		0	4	true
skill_node_hkrul_guzunda_campaign_01		wh2_main_skill_all_hero_assist_army_scavenge	skill_node_set_hkrul_guzunda		5.0000	0.0000		0	0	true
skill_node_hkrul_guzunda_campaign_02		wh2_main_skill_all_hero_passive_spread_public_order	skill_node_set_hkrul_guzunda		5.0000	1.0000		0	0	true
skill_node_hkrul_guzunda_campaign_03		wh2_main_skill_all_hero_hinder_settlement_assault_garrison	skill_node_set_hkrul_guzunda		5.0000	2.0000		0	0	true
skill_node_hkrul_guzunda_campaign_05		wh2_main_skill_all_hero_hinder_agent_assassinate	skill_node_set_hkrul_guzunda		5.0000	4.0000		0	0	true
skill_node_hkrul_guzunda_campaign_06		wh2_main_skill_all_hero_hinder_army_assault_units	skill_node_set_hkrul_guzunda		5.0000	5.0000		0	0	true
skill_node_hkrul_guzunda_campaign_07		wh2_main_skill_all_hero_reduce_action_cost	skill_node_set_hkrul_guzunda		5.0000	6.0000		0	0	true
skill_node_hkrul_guzunda_campaign_actions_dummy		hkrul_guzunda_agent_actions	skill_node_set_hkrul_guzunda		8.0000	0.0000		1	0	false
skill_node_hkrul_guzunda_generic_2		hkrul_mar_haeyndrik_shield	skill_node_set_hkrul_guzunda		0.0000	5.0000		0	0	true
skill_node_hkrul_guzunda_generic_1		wh_main_skill_emp_champion_unique_hold_the_line	skill_node_set_hkrul_guzunda		0.0000	6.0000		0	0	true
skill_node_hkrul_guzunda_generic_3		wh3_main_skill_all_mentor_hero	skill_node_set_hkrul_guzunda		0.0000	333.0000		0	0	true
skill_node_hkrul_guzunda_innate		innate_hkrul_guzunda	skill_node_set_hkrul_guzunda		6.0000	0.0000		1	0	false
skill_node_hkrul_guzunda_special_1_0		hkrul_guzunda_special_1_0	skill_node_set_hkrul_guzunda		1.0000	0.0000		0	0	true
skill_node_hkrul_guzunda_special_1_1		hkrul_guzunda_special_1_1	skill_node_set_hkrul_guzunda		1.0000	1.0000		0	0	true
skill_node_hkrul_guzunda_special_1_2		hkrul_guzunda_special_1_2	skill_node_set_hkrul_guzunda		1.0000	2.0000		0	0	true
skill_node_hkrul_guzunda_special_1_3		hkrul_guzunda_special_1_3	skill_node_set_hkrul_guzunda		1.0000	3.0000		0	0	true
skill_node_hkrul_guzunda_special_2_0		hkrul_guzunda_special_2_0	skill_node_set_hkrul_guzunda		1.0000	4.0000		0	3	true
skill_node_hkrul_guzunda_special_0_1		hkrul_guzunda_special_0_1	skill_node_set_hkrul_guzunda		0.0000	8.0000		0	0	true
