ancillary_key	set_key
#ancillary_set_ancillary_junctions_tables;0;db/ancillary_set_ancillary_junctions_tables/hkrul_mar	
wh2_dlc13_anc_talisman_stadsraad_key	hkrul_mar_jk_set
hkrul_mar_anc_stadsraad	hkrul_mar_jk_set
hkrul_mar_scheldt	hkrul_mar_jk_set
hkrul_mar_nijmenk	hkrul_mar_jk_set
hkrul_mar_fooger	hkrul_mar_jk_set
hkrul_mar_roelef	hkrul_mar_jk_set
hkrul_mar_rothemuur	hkrul_mar_jk_set
hkrul_mar_follower_norsca	hkrul_mar_norsca
hkrul_mar_anc_norscan	hkrul_mar_norsca
hkrul_mar_item_shield_manann	hkrul_mar_seafarer
hkrul_mar_item_trident_manann	hkrul_mar_seafarer
hkrul_mar_item_vargheist	hkrul_mar_seafarer
hkrul_mar_jk_hat	hkrul_mar_maacht
hkrul_mar_item_fence	hkrul_mar_maacht
hkrul_mar_hakim	hkrul_mar_lovers
hkrul_mar_follower_roelef	hkrul_mar_lovers
hkrul_mar_lea	hkrul_mar_guilds
hkrul_mar_axel	hkrul_mar_guilds
hkrul_mar_loodemans	hkrul_mar_guilds
hkrul_mar_casanova	hkrul_mar_criminal
hkrul_mar_gruber	hkrul_mar_criminal
hkrul_mar_casino	hkrul_mar_criminal
hkrul_mar_follower_elf	hkrul_mar_elf
hkrul_mar_frost_globe	hkrul_mar_elf
hkrul_mar_bonsai	hkrul_mar_anc_set_cathay 
hkrul_mar_follower_cathay	hkrul_mar_anc_set_cathay 
