effect_key	set_key	effect_scope	value
#ancillary_set_effect_junctions_tables;0;db/ancillary_set_effect_junctions_tables/hkrul_mar			
hkrul_mar_upkeep_characters	hkrul_mar_jk_set	character_to_force_own_factionwide	-35.0000
wh_main_effect_economy_trade_tariff_mod	hkrul_mar_jk_set	character_to_faction	15.0000
wh3_dlc20_effect_allegiance_points_mod_norsca	hkrul_mar_norsca	character_to_faction	50.0000
hkrul_norsca_giant_dummy	hkrul_mar_norsca	character_to_character_own	1.0000
wh2_dlc11_effect_ability_enable_regeneration_at_sea	hkrul_mar_seafarer	character_to_character_own	1.0000
hkrul_mar_post_battle_sea	hkrul_mar_seafarer	character_to_character_own	50.0000
wh_main_effect_character_stat_leadership_aura_size	hkrul_mar_maacht	character_to_character_own	25.0000
wh_main_effect_attribute_enable_unbreakable	hkrul_mar_maacht	character_to_character_own	1.0000
wh3_main_effect_allegiance_points_war_coordination_target_mod	hkrul_mar_maacht	character_to_faction	-25.0000
ovn_effect_ability_army_enable_the_power_of_money	hkrul_mar_jk_set	faction_to_force_own	1.0000
rhox_mar_show_money_power_ui_hidden	hkrul_mar_jk_set	faction_to_faction_own	1.0000
hkrul_mar_lovers	hkrul_mar_lovers	character_to_character_own	1.0000
wh_main_effect_force_stat_leadership_enemy_unit	hkrul_mar_guilds	character_to_force_enemy_regionwide	-5.0000
wh_main_effect_economy_gdp_mod_all	hkrul_mar_guilds	character_to_region_own_factionwide	5.0000
wh_main_effect_ability_enable_slippery	hkrul_mar_criminal	character_to_character_own	1.0000
wh_main_effect_agent_action_cost_mod	hkrul_mar_criminal	faction_to_character_own	-20.0000
rhox_mar_elf_effect_dummy	hkrul_mar_elf	character_to_character_own	1.0000
wh_main_effect_force_stat_leadership_attacking	hkrul_mar_lovers	character_to_force_own	4.0000
rhox_mar_cathay_ship_dummy	hkrul_mar_anc_set_cathay 	character_to_character_own	1.0000
