ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/hkrul_camille							
ovn_spell_sea_fishermans_eye_mage	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_drowned_mans_face	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_drowned_mans_face_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_wave_of_destruction	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_wave_of_destruction_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_animate_water	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_animate_water_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_fountain_of_life	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_fountain_of_life_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_water_blast	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_sea_water_blast_mage_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
