key	owner_bundle	faction_swapping_id	hidden_settlement_override	terrain_patch_area	unnamed colour group_1
#regions_tables;0;db/regions_tables/zzzz_cr_combi_regions					
cr_combi_region_khuresh_1_1		emp	false		718077
cr_combi_region_khuresh_1_2		emp	false		381461
cr_combi_region_khuresh_1_3		emp	false		723710
cr_combi_region_khuresh_2_1		emp	false		531497
cr_combi_region_khuresh_2_2		emp	false		352813
cr_combi_region_khuresh_2_3		emp	false		039187
cr_combi_region_khuresh_3_1		emp	false		291402
cr_combi_region_khuresh_3_2		emp	false		873296
cr_combi_region_khuresh_3_3		emp	false		922780
cr_combi_region_khuresh_4_1		emp	false		669376
cr_combi_region_khuresh_4_2		emp	false		155010
cr_combi_region_khuresh_4_3		emp	false		687559
cr_combi_region_khuresh_5_1		emp	false		810256
cr_combi_region_khuresh_5_2		emp	false		322276
cr_combi_region_khuresh_5_3		emp	false		678216
cr_combi_region_khuresh_6_1		emp	false		024530
cr_combi_region_khuresh_6_2		emp	false		171636
cr_combi_region_khuresh_6_3		emp	false		324751
cr_combi_region_khuresh_7_1		emp	false		260467
cr_combi_region_khuresh_7_2		emp	false		816550
cr_combi_region_khuresh_7_3		emp	false		396756
cr_combi_region_gates_of_calith_1		emp	false		942804
cr_combi_region_gates_of_calith_2		emp	false		425938
cr_combi_region_ind_1_1		emp	false		200965
cr_combi_region_ind_1_2		emp	false		414736
cr_combi_region_ind_1_3		emp	false		027257
cr_combi_region_ind_2_1		emp	false		403782
cr_combi_region_ind_2_2		emp	false		490152
cr_combi_region_ind_2_3		emp	false		608085
cr_combi_region_ind_3_1		emp	false		910070
cr_combi_region_ind_3_2		emp	false		528711
cr_combi_region_ind_3_3		emp	false		624661
cr_combi_region_ind_4_1		emp	false		219838
cr_combi_region_ind_4_2		emp	false		598344
cr_combi_region_ind_4_3		emp	false		680292
cr_combi_region_ind_5_1		emp	false		399333
cr_combi_region_ind_5_2		emp	false		826731
cr_combi_region_ind_5_3		emp	false		072777
cr_combi_region_ind_6_1		emp	false		552359
cr_combi_region_ind_6_2		emp	false		422925
cr_combi_region_ind_6_3		emp	false		855685
cr_combi_region_ihan_1_1		emp	false		460873
cr_combi_region_ihan_1_2		emp	false		962357
cr_combi_region_ihan_1_3		emp	false		200223
cr_combi_region_ihan_2_1		emp	false		245243
cr_combi_region_ihan_2_2		emp	false		455412
cr_combi_region_ihan_2_3		emp	false		973686
cr_combi_region_nippon_1_1		emp	false		902A7F
cr_combi_region_nippon_1_2		emp	false		4DEAD2
cr_combi_region_nippon_2_1		emp	false		93951E
cr_combi_region_nippon_2_2		emp	false		246C1C
cr_combi_region_nippon_2_3		emp	false		B9E322
cr_combi_region_nippon_3_1		emp	false		5F1128
cr_combi_region_nippon_3_2		emp	false		D67220
cr_combi_region_nippon_3_3		emp	false		15D866
cr_combi_region_elithis_1_1		emp	false		410C37
cr_combi_region_elithis_1_2		emp	false		E78BDF
cr_combi_region_elithis_1_3		emp	false		3B3B9C
cr_combi_region_ihan_3_1		emp	false		8DD92A
cr_combi_region_ihan_3_2		emp	false		21D401
cr_combi_region_ihan_3_3		emp	false		DE9C23
cr_combi_region_thorkinsons_island		emp	false		2D5609
cr_combi_region_genaina		emp	false		280207
cr_combi_region_melay		emp	false		2EE66E
cr_combi_region_estragons_island		emp	false		F6DA2B
cr_combi_region_sunken_island_of_the_gods		emp	false		A2B61E
cr_combi_region_zermuda		emp	false		265676
cr_combi_region_akhaba		emp	false		6FC153
cr_combi_region_sud		emp	false		E22A53
cr_combi_region_south_jade_sea		emp	false		000000
cr_combi_region_southern_straits_of_the_jade_sea		emp	false		000000
cr_combi_region_seagrave		emp	false		000000
cr_combi_region_straits_of_calith		emp	false		000000
cr_combi_region_coast_of_khuresh		emp	false		000000
cr_combi_region_sea_of_elithis		emp	false		000000
cr_combi_region_sea_of_nippon		emp	false		000000
cr_combi_region_coast_of_cathay		emp	false		000000
cr_combi_region_zermuda_triangle		emp	false		000000
cr_combi_region_thorkinsons_coast		emp	false		000000
cr_combi_region_melay_coast		emp	false		000000
