from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/hkrul_mar			
ovn_dekuypers_network_marienburg	ovn_dekuypers_network	ovn_dekuypers_network_southern_sea_of_chaos	ovn_dekuypers_network_marienburg-southern_sea_of_chaos
ovn_dekuypers_network_gulf_of_kislev	ovn_dekuypers_network	ovn_dekuypers_network_erengrad	ovn_dekuypers_network_gulf_of_kislev-erengrad
ovn_dekuypers_network_sea_of_claws	ovn_dekuypers_network	ovn_dekuypers_network_gulf_of_kislev	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev
ovn_dekuypers_network_southern_sea_of_chaos	ovn_dekuypers_network	ovn_dekuypers_network_sea_of_claws	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws
ovn_dekuypers_network_southern_sea_of_chaos	ovn_dekuypers_network	ovn_dekuypers_network_the_albion_channel	ovn_dekuypers_network_southern_sea_of_chaos-the_albion_channel
ovn_dekuypers_network_middle_sea	ovn_dekuypers_network	ovn_dekuypers_network_the_estalia_coastline	ovn_dekuypers_network_middle_sea-the_estalia_coastline
ovn_dekuypers_network_the_mistnar_crossing	ovn_dekuypers_network	ovn_dekuypers_network_bordeleaux	ovn_dekuypers_network_the_mistnar_crossing-bordeleaux
ovn_dekuypers_network_tilean_sea	ovn_dekuypers_network	ovn_dekuypers_network_the_pirate_coast	ovn_dekuypers_network_tilean_sea-the_pirate_coast
ovn_dekuypers_network_the_pirate_coast	ovn_dekuypers_network	ovn_dekuypers_network_the_black_gulf	ovn_dekuypers_network_the_pirate_coast-the_black_gulf
ovn_dekuypers_network_the_black_gulf	ovn_dekuypers_network	ovn_dekuypers_network_barak_varr	ovn_dekuypers_network_the_black_gulf-barak_varr
ovn_dekuypers_network_tilean_sea	ovn_dekuypers_network	ovn_dekuypers_network_miragliano	ovn_dekuypers_network_tilean_sea-miragliano
ovn_dekuypers_network_the_estalia_coastline	ovn_dekuypers_network	ovn_dekuypers_network_magritta	ovn_dekuypers_network_the_estalia_coastline-magritta
ovn_dekuypers_network_the_churning_gulf	ovn_dekuypers_network	ovn_dekuypers_network_fortress_of_dawn	ovn_dekuypers_network_the_churning_gulf-fortress_of_dawn
ovn_dekuypers_network_the_eastern_isles	ovn_dekuypers_network	ovn_dekuypers_network_tower_of_the_sun	ovn_dekuypers_network_the_eastern_isles-tower_of_the_sun
ovn_dekuypers_network_serpent_coast_sea	ovn_dekuypers_network	ovn_dekuypers_network_the_eastern_isles	ovn_dekuypers_network_serpent_coast_sea-the_eastern_isles
ovn_dekuypers_network_shark_straights	ovn_dekuypers_network	ovn_dekuypers_network_gulf_of_medes	ovn_dekuypers_network_shark_straights-gulf_of_medes
ovn_dekuypers_network_shark_straights	ovn_dekuypers_network	ovn_dekuypers_network_lashiek	ovn_dekuypers_network_shark_straights-lashiek
ovn_dekuypers_network_serpent_river	ovn_dekuypers_network	ovn_dekuypers_network_dai_cheng	ovn_dekuypers_network_serpent_river-dai_cheng
