from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/rhox_mundvard			
ovn_dekuypers_network_marienburg	rhox_mar_mundvard_network	ovn_dekuypers_network_southern_sea_of_chaos	ovn_dekuypers_network_marienburg-southern_sea_of_chaos
ovn_dekuypers_network_southern_sea_of_chaos	rhox_mar_mundvard_network	ovn_dekuypers_network_the_albion_channel	ovn_dekuypers_network_southern_sea_of_chaos-the_albion_channel
ovn_dekuypers_network_middle_sea	rhox_mar_mundvard_network	ovn_dekuypers_network_the_estalia_coastline	ovn_dekuypers_network_middle_sea-the_estalia_coastline
ovn_dekuypers_network_shifting_isles	rhox_mar_mundvard_network	ovn_dekuypers_network_straits_of_lothern	ovn_dekuypers_network_shifting_isles-straits_of_lothern
ovn_dekuypers_network_straits_of_lothern	rhox_mar_mundvard_network	ovn_dekuypers_network_scorpion_coast	ovn_dekuypers_network_straits_of_lothern-scorpion_coast
ovn_dekuypers_network_scorpion_coast	rhox_mar_mundvard_network	ovn_dekuypers_network_port_reaver	ovn_dekuypers_network_scorpion_coast-port_reaver
ovn_dekuypers_network_the_estalia_coastline	rhox_mar_mundvard_network	ovn_dekuypers_network_tilean_sea	ovn_dekuypers_network_the_estalia_coastline-tilean_sea
ovn_dekuypers_network_tilean_sea	rhox_mar_mundvard_network	ovn_dekuypers_network_sartosa	ovn_dekuypers_network_tilean_sea-sartosa
ovn_dekuypers_network_the_mistnar_crossing	rhox_mar_mundvard_network	ovn_dekuypers_network_middle_sea	ovn_dekuypers_network_the_mistnar_crossing-middle_sea
ovn_dekuypers_network_the_albion_channel	rhox_mar_mundvard_network	ovn_dekuypers_network_the_mistnar_crossing	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing
ovn_dekuypers_network_middle_sea	rhox_mar_mundvard_network	ovn_dekuypers_network_shifting_isles	ovn_dekuypers_network_middle_sea-shifting_isles
ovn_dekuypers_network_the_albion_channel	rhox_mar_mundvard_network	ovn_dekuypers_network_the_forbidding_coast	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast
ovn_dekuypers_network_the_forbidding_coast	rhox_mar_mundvard_network	ovn_dekuypers_network_karond_kar	ovn_dekuypers_network_the_forbidding_coast-karond_kar
ovn_dekuypers_network_the_bleak_coast	rhox_mar_mundvard_network	ovn_dekuypers_network_arnheim	ovn_dekuypers_network_the_bleak_coast-arnheim
ovn_dekuypers_network_scorpion_coast	rhox_mar_mundvard_network	ovn_dekuypers_network_straits_of_fear	ovn_dekuypers_network_scorpion_coast-straits_of_fear
ovn_dekuypers_network_straits_of_fear	rhox_mar_mundvard_network	ovn_dekuypers_network_the_bleak_coast	ovn_dekuypers_network_straits_of_fear-the_bleak_coast
ovn_dekuypers_network_southern_sea_of_chaos	rhox_mar_mundvard_network	ovn_dekuypers_network_straights_of_chaos	ovn_dekuypers_network_southern_sea_of_chaos-straights_of_chaos
ovn_dekuypers_network_straights_of_chaos	rhox_mar_mundvard_network	ovn_dekuypers_network_northern_sea_of_chaos	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos
ovn_dekuypers_network_northern_sea_of_chaos	rhox_mar_mundvard_network	ovn_dekuypers_network_kraken_sea	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea
ovn_dekuypers_network_kraken_sea	rhox_mar_mundvard_network	ovn_dekuypers_network_frozen_sea	ovn_dekuypers_network_kraken_sea-frozen_sea
ovn_dekuypers_network_frozen_sea	rhox_mar_mundvard_network	ovn_dekuypers_network_sjoktraken	ovn_dekuypers_network_frozen_sea-sjoktraken
ovn_dekuypers_network_straights_of_chaos	rhox_mar_mundvard_network	ovn_dekuypers_network_karond_kar	ovn_dekuypers_network_straights_of_chaos-karond_kar
ovn_dekuypers_network_the_forbidding_coast	rhox_mar_mundvard_network	ovn_dekuypers_network_sunken_lands	ovn_dekuypers_network_the_forbidding_coast-sunken_lands
ovn_dekuypers_network_sunken_lands	rhox_mar_mundvard_network	ovn_dekuypers_network_the_bleak_coast	ovn_dekuypers_network_sunken_lands-the_bleak_coast
ovn_dekuypers_network_southern_sea_of_chaos	rhox_mar_mundvard_network	ovn_dekuypers_network_sea_of_claws	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws
ovn_dekuypers_network_sea_of_claws	rhox_mar_mundvard_network	ovn_dekuypers_network_gulf_of_kislev	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev
ovn_dekuypers_network_gulf_of_kislev	rhox_mar_mundvard_network	rhox_mar_mundvard_network_bay_of_blades	rhox_mar_mundvard_network_gulf_of_kislev-bay_of_blades
ovn_dekuypers_network_tilean_sea	rhox_mar_mundvard_network	ovn_dekuypers_network_the_pirate_coast	ovn_dekuypers_network_tilean_sea-the_pirate_coast
ovn_dekuypers_network_the_pirate_coast	rhox_mar_mundvard_network	ovn_dekuypers_network_shark_straights	ovn_dekuypers_network_the_pirate_coast-shark_straights
ovn_dekuypers_network_shark_straights	rhox_mar_mundvard_network	rhox_mar_mundvard_network_sorcerers_islands	rhox_mar_mundvard_network_shark_straights-sorcerers_islands
ovn_dekuypers_network_straights_of_chaos	rhox_mar_mundvard_network	rhox_mar_mundvard_network_troll_fjord	rhox_mar_mundvard_network_straights_of_chaos-troll_fojord
ovn_dekuypers_network_kraken_sea	rhox_mar_mundvard_network	rhox_mar_mundvard_network_fortress_of_the_damned	rhox_mar_mundvard_network_kraken_sea-fortress_of_the_damned
