from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/rhox_fooger			
wh3_main_combi_region_bechafen	rhox_fooger_trade_route	wh3_main_combi_region_hergig	wh3_main_combi_ivory_road_bechafen-hergig
wh3_main_combi_region_black_fang	rhox_fooger_trade_route	wh3_main_combi_region_blizzardpeak	wh3_main_combi_ivory_road_black_fang-blizzard_peak
wh3_main_combi_region_black_fang	rhox_fooger_trade_route	wh3_main_combi_region_zharr_naggrund	wh3_main_combi_ivory_road_black_fang-zharr_naggrund
wh3_main_combi_region_black_fortress	rhox_fooger_trade_route	wh3_main_combi_region_pigbarter	wh3_main_combi_ivory_road_black_fortress-pigbarter
wh3_main_combi_region_black_fortress	rhox_fooger_trade_route	wh3_main_combi_region_tower_of_gorgoth	wh3_main_combi_ivory_road_black_fortress-tower_of_gorgoth
wh3_main_combi_region_blizzardpeak	rhox_fooger_trade_route	wh3_main_combi_region_uzkulak	wh3_main_combi_ivory_road_blizzard_peak-uzkulak
wh3_main_combi_region_bloodpeak	rhox_fooger_trade_route	wh3_main_combi_region_black_fang	wh3_main_combi_ivory_road_bloodpeak-black_fang
wh3_main_combi_region_fort_jakova	rhox_fooger_trade_route	wh3_main_combi_region_bechafen	wh3_main_combi_ivory_road_fort_jakova-bechafen
wh3_main_combi_region_fort_jakova	rhox_fooger_trade_route	wh3_main_combi_region_kislev	wh3_main_combi_ivory_road_fort_jakova-kislev
wh3_main_combi_region_gnashraks_lair	rhox_fooger_trade_route	wh3_main_combi_region_bechafen	wh3_main_combi_ivory_road_gnashraks_lair-bechafen
wh3_main_combi_region_gnashraks_lair	rhox_fooger_trade_route	wh3_main_combi_region_castle_drakenhof	wh3_main_combi_ivory_road_gnashraks_lair-castle_drakenhof
wh3_main_combi_region_great_hall_of_greasus	rhox_fooger_trade_route	wh3_main_combi_region_black_fortress	wh3_main_combi_ivory_road_great_hall_of_greasus-black_fortress
wh3_main_combi_region_great_hall_of_greasus	rhox_fooger_trade_route	wh3_main_combi_region_karak_azorn	wh3_main_combi_ivory_road_great_hall_of_greasus-karak_azorn
wh3_main_combi_region_hergig	rhox_fooger_trade_route	wh3_main_combi_region_altdorf	wh3_main_combi_ivory_road_hergig-altdorf
wh3_main_combi_region_hergig	rhox_fooger_trade_route	wh3_main_combi_region_marienburg	wh3_main_combi_ivory_road_hergig-marienburg
wh3_main_combi_region_karak_azorn	rhox_fooger_trade_route	wh3_main_combi_region_zharr_naggrund	wh3_main_combi_ivory_road_karak_azorn-zharr_naggrund
wh3_main_combi_region_karak_azul	rhox_fooger_trade_route	wh3_main_combi_region_karaz_a_karak	wh3_main_combi_ivory_road_karak_azul-karaz_a_karaz
wh3_main_combi_region_karak_azul	rhox_fooger_trade_route	wh3_main_combi_region_myrmidens	wh3_main_combi_ivory_road_karak_azul-myrmidens
wh3_main_combi_region_kislev	rhox_fooger_trade_route	wh3_main_combi_region_erengrad	wh3_main_combi_ivory_road_kislev-erengrad
wh3_main_combi_region_novchozy	rhox_fooger_trade_route	wh3_main_combi_region_kislev	wh3_main_combi_ivory_road_novzhozy-kislev
wh3_main_combi_region_pigbarter	rhox_fooger_trade_route	wh3_main_combi_region_karak_azul	wh3_main_combi_ivory_road_pigbarter-karak_azul
wh3_main_combi_region_qiang	rhox_fooger_trade_route	wh3_main_combi_region_pigbarter	wh3_main_combi_ivory_road_qiang-pigbarter
wh3_main_combi_region_shang_yang	rhox_fooger_trade_route	wh3_main_combi_region_bloodpeak	wh3_main_combi_ivory_road_shang_yang-bloodpeak
wh3_main_combi_region_shang_yang	rhox_fooger_trade_route	wh3_main_combi_region_great_hall_of_greasus	wh3_main_combi_ivory_road_shang_yang-great_hall_of_greasus
wh3_main_combi_region_shang_yang	rhox_fooger_trade_route	wh3_main_combi_region_qiang	wh3_main_combi_ivory_road_shang_yang-qiang
wh3_main_combi_region_silver_pinnacle	rhox_fooger_trade_route	wh3_main_combi_region_fort_jakova	wh3_main_combi_ivory_road_silver_pinnacle-fort_jakova
wh3_main_combi_region_tower_of_gorgoth	rhox_fooger_trade_route	wh3_main_combi_region_gnashraks_lair	wh3_main_combi_ivory_road_tower_of_gorgoth-gnashraks_lair
wh3_main_combi_region_tower_of_gorgoth	rhox_fooger_trade_route	wh3_main_combi_region_karaz_a_karak	wh3_main_combi_ivory_road_tower_of_gorgoth-karaz-a-karak
wh3_main_combi_region_uzkulak	rhox_fooger_trade_route	wh3_main_combi_region_frozen_landing	wh3_main_combi_ivory_road_uzkulak-frozen_landing
wh3_main_combi_region_uzkulak	rhox_fooger_trade_route	wh3_main_combi_region_novchozy	wh3_main_combi_ivory_road_uzkulak-novzhozy
wh3_main_combi_region_zharr_naggrund	rhox_fooger_trade_route	wh3_main_combi_region_silver_pinnacle	wh3_main_combi_ivory_road_zharr_naggrund-silver_pinnacle
wh3_main_combi_region_zharr_naggrund	rhox_fooger_trade_route	wh3_main_combi_region_uzkulak	wh3_main_combi_ivory_road_zharr_naggrund-uzkulak
rhox_fooger_start	rhox_fooger_trade_route	rhox_fooger_jinshen	rhox_fooger_region_group_start-jinshen
rhox_fooger_jinshen	rhox_fooger_trade_route	wh3_main_combi_region_shang_yang	rhox_fooger_region_group_jinshen-shang_yang
