agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_mar_rebel			
champion	ovn_mar_house_de_roelef_rebel	wh_main_emp_captain	false
colonel	ovn_mar_house_de_roelef_rebel	wh_main_emp_lord	false
dignitary	ovn_mar_house_de_roelef_rebel	wh_main_emp_warrior_priest	false
general	ovn_mar_house_de_roelef_rebel	wh2_dlc13_emp_cha_huntsmarshal	false
general	ovn_mar_house_de_roelef_rebel	wh_dlc04_emp_arch_lector	false
general	ovn_mar_house_de_roelef_rebel	wh_main_emp_lord	false
minister	ovn_mar_house_de_roelef_rebel	wh_main_emp_lord	false
spy	ovn_mar_house_de_roelef_rebel	wh_main_emp_witch_hunter	false
wizard	ovn_mar_house_de_roelef_rebel	wh2_pro07_emp_amethyst_wizard	false
wizard	ovn_mar_house_de_roelef_rebel	wh_dlc03_emp_amber_wizard	false
wizard	ovn_mar_house_de_roelef_rebel	wh_dlc05_emp_grey_wizard	false
wizard	ovn_mar_house_de_roelef_rebel	wh_dlc05_emp_jade_wizard	false
wizard	ovn_mar_house_de_roelef_rebel	wh_main_emp_bright_wizard	false
wizard	ovn_mar_house_de_roelef_rebel	wh_main_emp_celestial_wizard	false
wizard	ovn_mar_house_de_roelef_rebel	wh_main_emp_light_wizard	false
champion	ovn_mar_house_fooger_rebel	wh_main_emp_captain	false
colonel	ovn_mar_house_fooger_rebel	wh_main_emp_lord	false
dignitary	ovn_mar_house_fooger_rebel	wh_main_emp_warrior_priest	false
general	ovn_mar_house_fooger_rebel	wh2_dlc13_emp_cha_huntsmarshal	false
general	ovn_mar_house_fooger_rebel	wh_dlc04_emp_arch_lector	false
general	ovn_mar_house_fooger_rebel	wh_main_emp_lord	false
minister	ovn_mar_house_fooger_rebel	wh_main_emp_lord	false
spy	ovn_mar_house_fooger_rebel	wh_main_emp_witch_hunter	false
wizard	ovn_mar_house_fooger_rebel	wh2_pro07_emp_amethyst_wizard	false
wizard	ovn_mar_house_fooger_rebel	wh_dlc03_emp_amber_wizard	false
wizard	ovn_mar_house_fooger_rebel	wh_dlc05_emp_grey_wizard	false
wizard	ovn_mar_house_fooger_rebel	wh_dlc05_emp_jade_wizard	false
wizard	ovn_mar_house_fooger_rebel	wh_main_emp_bright_wizard	false
wizard	ovn_mar_house_fooger_rebel	wh_main_emp_celestial_wizard	false
wizard	ovn_mar_house_fooger_rebel	wh_main_emp_light_wizard	false
champion	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_captain	false
colonel	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_lord	false
dignitary	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_warrior_priest	false
general	ovn_mar_house_van_den_nijmenk_rebel	wh2_dlc13_emp_cha_huntsmarshal	false
general	ovn_mar_house_van_den_nijmenk_rebel	wh_dlc04_emp_arch_lector	false
general	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_lord	false
minister	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_lord	false
spy	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_witch_hunter	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh2_pro07_emp_amethyst_wizard	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh_dlc03_emp_amber_wizard	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh_dlc05_emp_grey_wizard	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh_dlc05_emp_jade_wizard	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_bright_wizard	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_celestial_wizard	false
wizard	ovn_mar_house_van_den_nijmenk_rebel	wh_main_emp_light_wizard	false
