attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/hkrul_marienburg_supplement	
deep_sea	ovn_mar_cult_of_manann
non_vampire_territory	ovn_mar_cult_of_manann
deep_sea	ovn_mar_house_fooger
non_vampire_territory	ovn_mar_house_fooger
chaos_territory	rhox_rogue_spirits_of_stromfel
chaos_wastes	rhox_rogue_spirits_of_stromfel
deep_sea	rhox_rogue_spirits_of_stromfel
desertion	rhox_rogue_spirits_of_stromfel
desert	rhox_rogue_spirits_of_stromfel
horde_infighting	rhox_rogue_spirits_of_stromfel
maelstrom	rhox_rogue_spirits_of_stromfel
mountain	rhox_rogue_spirits_of_stromfel
non_vampire_territory	rhox_rogue_spirits_of_stromfel
reef	rhox_rogue_spirits_of_stromfel
regionless	rhox_rogue_spirits_of_stromfel
sea_monster_storm	rhox_rogue_spirits_of_stromfel
snow	rhox_rogue_spirits_of_stromfel
storm_level_1	rhox_rogue_spirits_of_stromfel
storm_level_2	rhox_rogue_spirits_of_stromfel
storm_level_3	rhox_rogue_spirits_of_stromfel
storm_level_4	rhox_rogue_spirits_of_stromfel
storm_level_5	rhox_rogue_spirits_of_stromfel
vampire_territory	rhox_rogue_spirits_of_stromfel
wasteland	rhox_rogue_spirits_of_stromfel
