id	dilemma_key	option_key	value	target
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/rhox_mar				
2055238054	rhox_mar_dilemma_cth_caravan_battle_1A	GEN_TARGET_MODEL		default
2055238055	rhox_mar_dilemma_cth_caravan_battle_3	GEN_TARGET_MODEL		default
2055238056	rhox_mar_dilemma_cth_caravan_battle_2A	GEN_TARGET_MODEL		target_military_1
2055238057	rhox_mar_dilemma_cth_caravan_battle_1B	VAR_CHANCE	0	default
2055238058	rhox_mar_dilemma_cth_caravan_battle_3	GEN_TARGET_MODEL		target_military_1
2055238059	rhox_mar_dilemma_cth_caravan_4A	GEN_TARGET_MODEL		default
2055238060	rhox_mar_dilemma_cth_caravan_2A	GEN_TARGET_NONE		default
2055238061	rhox_mar_dilemma_cth_caravan_2A	VAR_CHANCE	0	default
2055238062	rhox_mar_dilemma_cth_caravan_battle_2B	VAR_CHANCE	0	default
2055238063	rhox_mar_dilemma_cth_caravan_battle_1B	GEN_TARGET_MODEL		default
2055238064	rhox_mar_dilemma_cth_caravan_1A	VAR_CHANCE	0	default
2055238065	rhox_mar_dilemma_cth_caravan_4A	VAR_CHANCE	0	default
2055238066	rhox_mar_dilemma_cth_caravan_battle_1A	GEN_TARGET_MODEL		target_military_1
2055238067	rhox_mar_dilemma_cth_caravan_battle_1B	GEN_TARGET_MODEL		target_military_1
2055238068	rhox_mar_dilemma_cth_caravan_1A	GEN_TARGET_NONE		default
2055238069	rhox_mar_dilemma_cth_caravan_3A	GEN_TARGET_NONE		default
2055238070	rhox_mar_dilemma_cth_caravan_battle_2A	VAR_CHANCE	0	default
2055238071	rhox_mar_dilemma_cth_caravan_battle_2A	GEN_TARGET_MODEL		default
2055238072	rhox_mar_dilemma_cth_caravan_battle_2A	GEN_TARGET_MODEL		target_settlement_1
2055238073	rhox_mar_dilemma_cth_caravan_3A	VAR_CHANCE	0	default
2055238074	rhox_mar_dilemma_cth_caravan_battle_2B	GEN_TARGET_MODEL		default
2055238075	rhox_mar_dilemma_cth_caravan_battle_2B	GEN_TARGET_MODEL		target_military_1
2055238076	rhox_mar_dilemma_cth_caravan_battle_1A	VAR_CHANCE	0	default
2055238077	rhox_mar_dilemma_cth_caravan_battle_3	VAR_CHANCE	0	default
2055238078	rhox_mar_confederation_dilemma	VAR_CHANCE	100	default
2055238079	rhox_mar_confederation_dilemma	GEN_TARGET_MODEL		default
2055238080	rhox_mar_mundvard_ultimatum_dilemma	GEN_TARGET_NONE		default
2055238081	rhox_mar_mundvard_ultimatum_dilemma	VAR_CHANCE	0	default
2055238082	rhox_mar_egmond_choose_side	GEN_TARGET_NONE		default
2055238083	rhox_mar_egmond_choose_side	VAR_CHANCE	0	default
2055238084	rhox_mar_dilemma_burgerhof	GEN_TARGET_NONE		default
2055238085	rhox_mar_dilemma_burgerhof	VAR_CHANCE	0	default
2055238086	rhox_mar_dilemma_final_reward	GEN_TARGET_MODEL		default
2055238087	rhox_mar_dilemma_final_reward	VAR_CHANCE	0	default
2055238088	rhox_mar_mundvard_dilemma_cathay_caravan	GEN_TARGET_MODEL		default
2055238089	rhox_mar_mundvard_dilemma_power_overwhelming	VAR_CHANCE	0	default
2055238090	rhox_mar_mundvard_dilemma_dwarfs	GEN_TARGET_MODEL		target_military_1
2055238091	rhox_mar_mundvard_dilemma_far_from_home	GEN_TARGET_MODEL		default
2055238092	rhox_mar_mundvard_dilemma_way_of_lava	VAR_CHANCE	0	default
2055238093	rhox_mar_mundvard_dilemma_trading_dark_elfs	VAR_CHANCE	0	default
2055238094	rhox_mar_mundvard_dilemma_the_ambush	VAR_CHANCE	0	default
2055238095	rhox_mar_mundvard_dilemma_power_overwhelming	GEN_TARGET_MODEL		default
2055238096	rhox_mar_mundvard_dilemma_trading_dark_elfs	GEN_TARGET_MODEL		target_military_1
2055238097	rhox_mar_mundvard_dilemma_the_guide	GEN_TARGET_MODEL		target_military_1
2055238098	rhox_mar_mundvard_dilemma_offence_or_defence	GEN_TARGET_MODEL		default
2055238099	rhox_mar_mundvard_dilemma_redeadify	VAR_CHANCE	0	default
2055238100	rhox_mar_mundvard_dilemma_far_from_home	GEN_TARGET_MODEL		target_military_1
2055238101	rhox_mar_mundvard_dilemma_quick_way_down	GEN_TARGET_MODEL		default
2055238102	rhox_mar_mundvard_dilemma_fresh_battlefield	GEN_TARGET_MODEL		default
2055238103	rhox_mar_mundvard_dilemma_redeadify	GEN_TARGET_MODEL		target_military_1
2055238104	rhox_mar_mundvard_dilemma_hungry_daemons	GEN_TARGET_MODEL		default
2055238105	rhox_mar_mundvard_dilemma_hungry_daemons	GEN_TARGET_MODEL		target_military_1
2055238106	rhox_mar_mundvard_dilemma_dwarfs	VAR_CHANCE	0	default
2055238107	rhox_mar_mundvard_dilemma_localised_elfs	GEN_TARGET_MODEL		default
2055238108	rhox_mar_mundvard_dilemma_portals_part_2	VAR_CHANCE	0	default
2055238109	rhox_mar_mundvard_dilemma_portals_part_1	GEN_TARGET_MODEL		default
2055238110	rhox_mar_mundvard_dilemma_portals_part_2	GEN_TARGET_MODEL		target_military_1
2055238111	rhox_mar_mundvard_dilemma_offence_or_defence	VAR_CHANCE	0	default
2055238112	rhox_mar_mundvard_dilemma_hungry_daemons	VAR_CHANCE	0	default
2055238113	rhox_mar_mundvard_dilemma_rats_in_a_tunnel	VAR_CHANCE	0	default
2055238114	rhox_mar_mundvard_dilemma_localised_elfs	VAR_CHANCE	0	default
2055238115	rhox_mar_mundvard_dilemma_way_of_lava	GEN_TARGET_MODEL		default
2055238116	rhox_mar_mundvard_dilemma_rats_in_a_tunnel	GEN_TARGET_MODEL		default
2055238117	rhox_mar_mundvard_dilemma_portals_part_3_a	GEN_TARGET_MODEL		target_military_1
2055238118	rhox_mar_mundvard_dilemma_redeadify	GEN_TARGET_MODEL		default
2055238119	rhox_mar_mundvard_dilemma_the_guide	GEN_TARGET_MODEL		default
2055238120	rhox_mar_mundvard_dilemma_training_camp	GEN_TARGET_MODEL		default
2055238121	rhox_mar_mundvard_dilemma_offence_or_defence	GEN_TARGET_MODEL		target_military_1
2055238122	rhox_mar_mundvard_dilemma_the_guide	VAR_CHANCE	0	default
2055238123	rhox_mar_mundvard_dilemma_fresh_battlefield	GEN_TARGET_MODEL		target_military_1
2055238124	rhox_mar_mundvard_dilemma_quick_way_down	GEN_TARGET_MODEL		target_military_1
2055238125	rhox_mar_mundvard_dilemma_power_overwhelming	GEN_TARGET_MODEL		target_military_1
2055238126	rhox_mar_mundvard_dilemma_trading_dark_elfs	GEN_TARGET_MODEL		default
2055238127	rhox_mar_mundvard_dilemma_way_of_lava	GEN_TARGET_MODEL		target_military_1
2055238128	rhox_mar_mundvard_dilemma_ogre_mercenaries	GEN_TARGET_MODEL		target_military_1
2055238129	rhox_mar_mundvard_dilemma_portals_part_3_a	GEN_TARGET_MODEL		default
2055238130	rhox_mar_mundvard_dilemma_quick_way_down	VAR_CHANCE	0	default
2055238131	rhox_mar_mundvard_dilemma_localised_elfs	GEN_TARGET_MODEL		target_military_1
2055238132	rhox_mar_mundvard_dilemma_portals_part_3_a	VAR_CHANCE	0	default
2055238133	rhox_mar_mundvard_dilemma_fresh_battlefield	VAR_CHANCE	0	default
2055238134	rhox_mar_mundvard_dilemma_portals_part_1	GEN_TARGET_MODEL		target_military_1
2055238135	rhox_mar_mundvard_dilemma_training_camp	GEN_TARGET_MODEL		target_military_1
2055238136	rhox_mar_mundvard_dilemma_portals_part_3_a	CND_DILEMMA_GENERATED	wh3_dlc23_dilemma_chd_convoy_portals_part_2	default
2055238137	rhox_mar_mundvard_dilemma_ogre_mercenaries	GEN_TARGET_MODEL		default
2055238138	rhox_mar_mundvard_dilemma_ogre_mercenaries	VAR_CHANCE	0	default
2055238139	rhox_mar_mundvard_dilemma_the_ambush	GEN_TARGET_MODEL		default
2055238140	rhox_mar_mundvard_dilemma_rats_in_a_tunnel	GEN_TARGET_MODEL		target_military_1
2055238141	rhox_mar_mundvard_dilemma_portals_part_2	CND_DILEMMA_GENERATED	wh3_dlc23_dilemma_chd_convoy_portals_part_1	default
2055238142	rhox_mar_mundvard_dilemma_the_ambush	GEN_TARGET_MODEL		target_military_1
2055238143	rhox_mar_mundvard_dilemma_portals_part_1	VAR_CHANCE	0	default
2055238144	rhox_mar_mundvard_dilemma_far_from_home	VAR_CHANCE	0	default
2055238145	rhox_mar_mundvard_dilemma_training_camp	VAR_CHANCE	0	default
2055238146	rhox_mar_mundvard_dilemma_portals_part_2	GEN_TARGET_MODEL		default
2055238147	rhox_mar_mundvard_dilemma_cathay_caravan	VAR_CHANCE	0	default
2055238148	rhox_mar_mundvard_dilemma_cathay_caravan	GEN_TARGET_MODEL		target_military_1
2055238149	rhox_mar_mundvard_dilemma_dwarfs	GEN_TARGET_MODEL		default
