key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/rhox_mar_emp_cus		
hkrul_mar_infantry_spear_halberd_emp_cus	infantry_spear_halberd	marienburg
hkrul_mar_inf_sword_emp_cus	infantry_sword	marienburg
hkrul_mar_wh_dlc07_brt_grail_relique_emp_cus	wh_dlc07_brt_grail_relique	marienburg
hkrul_mar_cannon_emp_cus	cannon	marienburg
hkrul_mar_missile_cavalry_rifle_emp_cus	missile_cavalry_rifle	marienburg
hkrul_mar_inf_gsword_emp_cus	infantry_sword_great	marienburg
hkrul_mar_cav_emp_cus	shock_cavalry	marienburg
snek_mar_landship_emp_cus	mar_landship	marienburg
hkrul_mar_missile_infantry_pistol_emp_cus	missile_infantry_rifle	marienburg
cannon_emp_cus	cannon	rhox_emp_ror
emp_rocket_battery_emp_cus	emp_rocket_battery	rhox_emp_ror
monstrous_shock_cavalry_emp_cus	wh2_dlc15_griffon_knights	rhox_emp_ror
shock_cavalry_emp_cus	shock_cavalry	rhox_emp_ror
infantry_sword_emp_cus	infantry_sword	rhox_emp_ror
missile_infantry_rifle_emp_cus	missile_infantry_rifle	rhox_emp_ror
missile_infantry_pistol_emp_cus	missile_infantry_rifle	rhox_emp_ror
wh_dlc04_emp_flagelllents_emp_cus	wh_dlc04_flagellant	rhox_emp_ror
magic_chariot_emp_cus	magic_chariot	rhox_emp_ror
missile_infantry_bow_emp_cus	missile_infantry_bow	rhox_emp_ror
missile_chariot_emp_cus	missile_chariot	rhox_emp_ror
hkrul_mar_missile_infantry_rifle_emp_cus	missile_infantry_rifle	marienburg
