attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/hkrul_mar	
encourages	hkrul_carriers
hide_forest	hkrul_carriers
immune_to_psychology	hkrul_mar_mananns_blades_ror
expendable	hkrul_burgher
hide_forest	hkrul_mar_handguns
guerrilla_deploy	hkrul_mar_handguns
hide_forest	hkrul_privateers
mounted_fire_move	hkrul_privateers
hide_forest	hkrul_privateers_dual_swords
hide_forest	hkrul_mar_sons_of_manann
hide_forest	hkrul_mar_inf_goedendagers
charge_defense_vs_large	hkrul_mar_inf_goedendagers
cant_run	hkrul_mar_culverin
cant_run	hkrul_mar_art_paixhan_ror
hide_forest	hkrul_mar_mananns_blades_ror
hide_forest	hkrul_mar_riverwarden_ror
charge_defense_vs_large	hkrul_mar_riverwarden_ror
mounted_fire_move	hkrul_mar_riverwarden_ror
guerrilla_deploy	hkrul_mar_riverwarden_ror
hide_forest	hkrul_mar_riverwarden
charge_defense_vs_large	hkrul_mar_riverwarden
guerrilla_deploy	hkrul_mar_riverwarden
causes_fear	hkrul_mar_knights_griffon
causes_terror	hkrul_mar_knights_griffon
flying	hkrul_mar_knights_griffon
encourages	hkrul_hendrik_pegasus
flying	hkrul_hendrik_pegasus
hide_forest	hkrul_mar_egmond_0
encourages	hkrul_mar_egmond_0
causes_fear	hkrul_mar_egmond_2
encourages	hkrul_mar_egmond_2
flying	hkrul_mar_egmond_2
spell_mastery	hkrul_mar_egmond_2
encourages	hkrul_mar_caravan_lord
hide_forest	hkrul_mar_caravan_lord
mounted_fire_move	hkrul_mar_caravan_lord
causes_fear	hkrul_mar_inf_cairn_wraiths_summoned_0
causes_terror	hkrul_mar_inf_cairn_wraiths_summoned_0
hide_forest	hkrul_mar_inf_cairn_wraiths_summoned_0
strider	hkrul_mar_inf_cairn_wraiths_summoned_0
undead	hkrul_mar_inf_cairn_wraiths_summoned_0
hide_forest	hkrul_burgher
encourages	hkrul_lisette
hide_forest	hkrul_lisette
guerrilla_deploy	hkrul_mar_rijders
hide_forest	hkrul_mar_rijders
guerrilla_deploy	hkrul_mar_rijders_crossbow
hide_forest	hkrul_mar_rijders_crossbow
mounted_fire_move	hkrul_mar_rijders_crossbow
guerrilla_deploy	rhox_wh2_dlc11_cst_inf_sartosa_free_company_0
hide_forest	rhox_wh2_dlc11_cst_inf_sartosa_free_company_0
guerrilla_deploy	rhox_wh2_dlc11_cst_inf_sartosa_militia_0
hide_forest	rhox_wh2_dlc11_cst_inf_sartosa_militia_0
mounted_fire_move	rhox_wh2_dlc11_cst_inf_sartosa_militia_0
hide_forest	hkrul_fooger_ror
encourages	hkrul_lector_mount
causes_fear	hkrul_lector_mount
causes_terror	hkrul_lector_mount
