member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/rhox_fooger		
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionBretonnia	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionBretonnia_&_Negative	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionBretonnia_&_Positive	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionChaos	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionChaos_&_Negative	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionChaos_&_Positive	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionDwarf	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionDwarf_&_Negative	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionDwarf_&_Positive	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionEmpire	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionEmpire_&_Negative	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionEmpire_&_Positive	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionGreenskin	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionGreenskin_&_Negative	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionGreenskin_&_Positive	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionVamp	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionVamp_&_Negative	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Dwarfs_&_FactionMarFooger_Dwarf_Lord_2_&_OtherFactionVamp_&_Positive	ACTOR	wh_main_sc_vmp_vampire_counts
